Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
1_Mangkuluhur,1_Mangkuluhur|442PC152E_CO|420993|14,7,6%,-74.71428571,OK -> GO
1_Mangkuluhur,1_Mangkuluhur|442PC152E_CO|420993|26,68,14%,-83.45588235,OK -> GO
878_Sheratonbdr,878_Sheratonbdr|4414948E_C2|472052|9,1,100%,-106,NOT GO -> Good Coverage from Surrounding
926_Ekalokasari,926_Ekalokasari|441PC104E-LTE-EKALOKASARI|460183|4,1,94%,-95,NOT GO -> Have Pico
1206_Pasar Leuwisadeng,1206_Pasar Leuwisadeng|441A144E|460640|6,23,94%,-99.08695652,NOT GO -> Good Coverage from Surrounding
1214_Pasar Bandeng,1214_Pasar Bandeng|4413558E_CO|470798|5,1,94%,-98,NOT GO -> Good Coverage from Surrounding
1_Mangkuluhur,1_Mangkuluhur|4435026E_CO|420041|6,47,7%,-77.0212766,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|4412795E_CO|411069|5,8,6%,-94.375,OK -> GO
802_Snipertaminisquare,802_Snipertaminisquare|4441060E|440653|6,9510,10%,-101.03449,NOT GO -> Have Pico
10_TOYOTAASTRA,10_TOYOTAASTRA|4412992E_CO|410730|4,2,8%,-90,OK -> GO
291_Gdgberca,291_Gdgberca|441PL472E_CO|411034|34,40,86%,-96.2,NOT GO -> Covered by Surrounding
996_Emacwibawamuktickr1,996_Emacwibawamuktickr1|4451776E_C2|451341|9,1,86%,-95,"NOT GO -> 2nd Priority Stadium, Covered by Surrounding"
1071_PASAR PONDOK LABU,1071_PASAR PONDOK LABU|4431871E_BB|431056|3,1990,6%,-107.0778894,"NOT GO -> Small Building, covered by Surrounding"
10_TOYOTAASTRA,10_TOYOTAASTRA|SH4412786E_CO|410895|1,3,13%,-88,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|SH4412786E_CO|410895|7,2,7%,-70.5,OK -> GO
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|14,25,11%,-84.8,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|4,42,13%,-82.66666667,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|5,132,21%,-85.36363636,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|6,261,28%,-82.3908046,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|541PL064N_CO|420980|16,76,12%,-93.90789474,NOT GO -> Have Pico
879_Utilitygmf,879_Utilitygmf|4410599E_CO|470857|15,7,77%,-97.71428571,"NOT GO -> Small Building, covered by Surrounding"
100_Mallpik-DMT,100_Mallpik-DMT|541PL064N_CO|420980|3,15,7%,-81.06666667,NOT GO -> Have Pico
1000_Poltekkes3-TBS,1000_Poltekkes3-TBS|441PL300E_CO|440659|4,10,47%,-80,NOT GO -> Have Pico
172_Kencanatower,172_Kencanatower|4424380E_CO|420165|5,28,76%,-99.64285714,OK -> GO
1072_PASAR RADIO DALAM,1072_PASAR RADIO DALAM|4435131E_CO|430142|15,12,75%,-104.9166667,"NOT GO -> Small Building, covered by Surrounding"
1001_Grandmall,1001_Grandmall|4410959E_CO|410159|1,1,10%,-72,NOT GO -> Have Pico
1001_Grandmall,1001_Grandmall|4410959E_CO|410159|4,86,68%,-90.24418605,NOT GO -> Have Pico
1255_TransMART Bogor Tajur,1255_TransMART Bogor Tajur|4464866E_CO|460171|6,6,75%,-106.3333333,OK -> GO
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|14,4,9%,-74.5,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|15,2,11%,-85,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|4,4,21%,-83.25,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|5,14,22%,-73.64285714,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|6,2273,8%,-75.14210295,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E|461633|26,22,23%,-68.04545455,NOT GO -> Have Pico
1003_Pesonasquare-KBP,1003_Pesonasquare-KBP|441PL049E_CO|461187|15,51,35%,-88.25490196,NOT GO -> Have Pico
1003_Pesonasquare-KBP,1003_Pesonasquare-KBP|441PL049E_CO|461187|4,16,26%,-78.5,NOT GO -> Have Pico
1003_Pesonasquare-KBP,1003_Pesonasquare-KBP|441PL049E_CO|461187|5,11,22%,-77.36363636,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|441PC420E_BB|461855|24,1,12%,-87,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|441PC420E|461030|4,1,8%,-89,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|441PC420E|461030|5,1,7%,-86,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|4465548E_BB|461864|3,534,10%,-90.85580524,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|4475924E_CO|470265|4,10,16%,-84.3,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|4475924E_CO|470265|7,581,17%,-92.22030981,NOT GO -> Have Pico
1005_Cineresquare,1005_Cineresquare|441PX452E|461024|4,120,78%,-74.6,NOT GO -> Have Pico
1005_Cineresquare,1005_Cineresquare|4464372E-LTE-CINERE-RAYA-DEPOK|460574|8,3,7%,-89,NOT GO -> Have Pico
921_Ptsamsung,921_Ptsamsung|4414965E_CO|450053|8,2,73%,-99,NOT GO -> Good Coverage from Surrounding
1006_Mallcinere,1006_Mallcinere|4465548E_BB|461864|3,1159,5%,-83.42968076,NOT GO -> Have Pico
1006_Mallcinere,1006_Mallcinere|4465548E_BB|461864|6,4,47%,-87,NOT GO -> Have Pico
750_Mrtblokm-TBG,750_Mrtblokm-TBG|SH4431357E-LTE-SISINGAMANGARAJA-GUNUNG|430483|5,53,71%,-101.490566,OK -> GO
1006_Mallcinere,1006_Mallcinere|446PC310E|461017|4,21,28%,-80.76190476,NOT GO -> Have Pico
1007_Rspuricinere,1007_Rspuricinere|441PX051E-LTE-RS-PURICINERE|460235|4,4,29%,-82.25,NOT GO -> Have Pico
1007_Rspuricinere,1007_Rspuricinere|4465548E_BB|461864|3,2,8%,-89.5,NOT GO -> Have Pico
1007_Rspuricinere,1007_Rspuricinere|4465548E_BB|461864|6,15,37%,-86.6,NOT GO -> Have Pico
461_Wsmnsntrmpr,461_Wsmnsntrmpr|441PC371E|430794|14,1,71%,-112,NOT GO -> Have Pico
1008_Htlradisson,1008_Htlradisson|441C329E_CO|452180|7,1,72%,-92,NOT GO -> Good Coverage from Surrounding
1296_OCBC One Tower,1296_OCBC One Tower|4472226E|471852|4,2,69%,-96,OK -> GO
1032_PASAR GLODOK,1032_PASAR GLODOK|441PL005E_CO|421090|26,85,68%,-99.55294118,NOT GO -> Good Coverage from Surrounding
1009_Mercure Hotel Sabang,1009_Mercure Hotel Sabang|441PL503E_CO|421240|21,172,7%,-77.68023256,NOT GO -> Covered by Surrounding
1009_Mercure Hotel Sabang,1009_Mercure Hotel Sabang|441PL503E_CO|421240|24,20,43%,-65.9,NOT GO -> Covered by Surrounding
1009_Mercure Hotel Sabang,1009_Mercure Hotel Sabang|441PL503E_CO|421240|27,19,31%,-75.84210526,NOT GO -> Covered by Surrounding
841_Aptamartapr1,841_Aptamartapr1|4475552E-LTE-KELAPA-DUA-SERPONG|470133|5,1,67%,-97,NOT GO -> Have Pico
101_Perwatatwr,101_Perwatatwr|441PL485E|421179|25,21,15%,-83.33333333,NOT GO -> Covered by Surrounding
