WKT,polygon_name,id
"MULTIPOLYGON (((106.796064539323 -6.36583627793617,106.791990670213 -6.36571466990305,106.789994271669 -6.36715369829503,106.788991005396 -6.36708276027571,106.787562111007 -6.36326224123502,106.788423501242 -6.36168133680439,106.789659849578 -6.36170160480991,106.791068475962 -6.36373853936476,106.796013869309 -6.36500528970981,106.796064539323 -6.36583627793617)))",Depok-Antasari Intersection,"1"
"MULTIPOLYGON (((106.891220291744 -6.13192575971886,106.889360702238 -6.13027898427028,106.888509446006 -6.12950880006048,106.888808399087 -6.12934158901493,106.890196757466 -6.1300408352054,106.891189889736 -6.13077555040554,106.891995542956 -6.13180415168573,106.891220291744 -6.13192575971886)))",Tanjung Priok 2 Toll Gate,"2"
"MULTIPOLYGON (((107.033608393458 -6.26692986517127,107.039348555219 -6.26895000793691,107.038437027385 -6.2705390226733,107.033066403935 -6.26883914644367,107.033608393458 -6.26692986517127)))",RestArea_KM19_Cikampek,"3"
"MULTIPOLYGON (((106.981617432616 -6.22742621974801,106.984284267425 -6.22906450625917,106.984278108453 -6.2295325881195,106.981420345517 -6.22772185039664,106.981617432616 -6.22742621974801)))",JL_Sultan_Agung_Bekasi,"4"
"MULTIPOLYGON (((107.040444852207 -6.33760714659543,107.038603319625 -6.34085908373037,107.038972857936 -6.3410623298013,107.040734323884 -6.33773648500421,107.040444852207 -6.33760714659543)))",JL.MTHARYONO_RS Kartika Husada_Bekasi,"5"
"MULTIPOLYGON (((106.956608927433 -6.29626812756193,106.958481254874 -6.29645289671732,106.957655952647 -6.29919979816085,106.95833343955 -6.29935993142886,106.959947090174 -6.29469143076923,106.959171059721 -6.294580569276,106.958887747016 -6.29572613803944,106.956879922194 -6.2956152765462,106.956608927433 -6.29626812756193)))",Pintu Toll JatiAsih_Bekasi,"6"
"MULTIPOLYGON (((106.568088665414 -6.22048813796296,106.563001354669 -6.21931793331213,106.563543344191 -6.21690361634831,106.56293976495 -6.216755801024,106.562360821597 -6.21908389238197,106.560463858268 -6.2184926310847,106.560155909676 -6.21912084621304,106.56200360123 -6.21977369722877,106.561597109088 -6.22125185047192,106.562299231878 -6.22144893757101,106.562730359908 -6.22013091759587,106.567546675892 -6.22104244542914,106.568088665414 -6.22048813796296)))",Gerbang Tol Bitung 1-2 Tangerang,"7"
"MULTIPOLYGON (((106.833809807015 -6.36852364552193,106.832270064053 -6.37331532561845,106.832011387236 -6.37421453550802,106.832898279181 -6.37427612522649,106.833563448141 -6.37112273164112,106.834351796537 -6.36856059935301,106.833809807015 -6.36852364552193)))",Jalan Margonda Raya-Margo City,"8"
"MULTIPOLYGON (((106.914461543344 -6.65941804480048,106.914707902218 -6.65923327564509,106.917263875534 -6.66114255691748,106.917091424322 -6.66132732607288,106.914461543344 -6.65941804480048)))",Jalan Labuan-Cianjur_Cimori Bogor,"9"
"MULTIPOLYGON (((106.804163596032 -6.5956634477322,106.803110411846 -6.59390814075596,106.801127222912 -6.59243614648467,106.801318151039 -6.59223905938558,106.802944119606 -6.5933291974024,106.803720150059 -6.59432079186968,106.804514657427 -6.59570040156328,106.804163596032 -6.5956634477322)))",JL.Jalak Harupat - Istana Bogor,"10"
