polygon_name,WKT
CILEGON CENTER MALL,"POLYGON ((106.06978149999999 -6.025184, 106.06978005782562 -6.025213356133529, 106.06977574519148 -6.025242429551444, 106.06976860363055 -6.025270940260838, 106.06975870191998 -6.025298613687994, 106.06974613541867 -6.025325183322679, 106.06973102514888 -6.02535039328479, 106.06971351663077 -6.025374000788608, 106.06969377848095 -6.0253957784809655, 106.0696720007886 -6.025415516630782, 106.06964839328478 -6.025433025148885, 106.06962318332268 -6.025448135418673, 106.06959661368799 -6.025460701919988, 106.06956894026084 -6.025470603630552, 106.06954042955144 -6.025477745191481, 106.06951135613352 -6.025482057825639, 106.069482 -6.0254835, 106.06945264386647 -6.025482057825639, 106.06942357044855 -6.025477745191481, 106.06939505973915 -6.025470603630552, 106.069367386312 -6.025460701919988, 106.06934081667731 -6.025448135418673, 106.06931560671521 -6.025433025148885, 106.06929199921139 -6.025415516630782, 106.06927022151903 -6.0253957784809655, 106.06925048336922 -6.025374000788608, 106.0692329748511 -6.02535039328479, 106.06921786458132 -6.025325183322679, 106.06920529808 -6.025298613687994, 106.06919539636944 -6.025270940260838, 106.06918825480851 -6.025242429551444, 106.06918394217436 -6.025213356133529, 106.0691825 -6.025184, 106.06918394217436 -6.025154643866472, 106.06918825480851 -6.025125570448557, 106.06919539636944 -6.025097059739163, 106.06920529808 -6.025069386312007, 106.06921786458132 -6.025042816677321, 106.0692329748511 -6.025017606715211, 106.06925048336922 -6.024993999211393, 106.06927022151903 -6.024972221519035, 106.06929199921139 -6.024952483369218, 106.06931560671521 -6.024934974851115, 106.06934081667731 -6.024919864581328, 106.069367386312 -6.024907298080013, 106.06939505973915 -6.0248973963694485, 106.06942357044855 -6.024890254808519, 106.06945264386647 -6.024885942174362, 106.069482 -6.024884500000001, 106.06951135613352 -6.024885942174362, 106.06954042955144 -6.024890254808519, 106.06956894026084 -6.0248973963694485, 106.06959661368799 -6.024907298080013, 106.06962318332268 -6.024919864581328, 106.06964839328478 -6.024934974851115, 106.0696720007886 -6.024952483369218, 106.06969377848095 -6.024972221519035, 106.06971351663077 -6.024993999211393, 106.06973102514888 -6.025017606715211, 106.06974613541867 -6.025042816677321, 106.06975870191998 -6.025069386312007, 106.06976860363055 -6.025097059739163, 106.06977574519148 -6.025125570448557, 106.06978005782562 -6.025154643866472, 106.06978149999999 -6.025184))"
Summarecon Mall Serpong,"POLYGON ((106.62918838888888 -6.239941666666667, 106.62918694671451 -6.239971022800195, 106.62918263408037 -6.24000009621811, 106.62917549251944 -6.240028606927504, 106.62916559080887 -6.24005628035466, 106.62915302430756 -6.240082849989346, 106.62913791403777 -6.2401080599514565, 106.62912040551966 -6.240131667455274, 106.62910066736984 -6.240153445147632, 106.62907888967749 -6.240173183297449, 106.62905528217367 -6.240190691815552, 106.62903007221156 -6.240205802085339, 106.62900350257688 -6.240218368586654, 106.62897582914972 -6.2402282702972185, 106.62894731844032 -6.240235411858148, 106.6289182450224 -6.240239724492305, 106.62888888888888 -6.240241166666666, 106.62885953275536 -6.240239724492305, 106.62883045933744 -6.240235411858148, 106.62880194862804 -6.2402282702972185, 106.62877427520088 -6.240218368586654, 106.6287477055662 -6.240205802085339, 106.6287224956041 -6.240190691815552, 106.62869888810027 -6.240173183297449, 106.62867711040792 -6.240153445147632, 106.6286573722581 -6.240131667455274, 106.62863986373999 -6.2401080599514565, 106.6286247534702 -6.240082849989346, 106.6286121869689 -6.24005628035466, 106.62860228525832 -6.240028606927504, 106.6285951436974 -6.24000009621811, 106.62859083106325 -6.239971022800195, 106.62858938888888 -6.239941666666667, 106.62859083106325 -6.239912310533138, 106.6285951436974 -6.239883237115223, 106.62860228525832 -6.239854726405829, 106.6286121869689 -6.239827052978673, 106.6286247534702 -6.239800483343988, 106.62863986373999 -6.239775273381877, 106.6286573722581 -6.239751665878059, 106.62867711040792 -6.2397298881857015, 106.62869888810027 -6.239710150035885, 106.6287224956041 -6.239692641517782, 106.6287477055662 -6.239677531247994, 106.62877427520088 -6.239664964746679, 106.62880194862804 -6.239655063036115, 106.62883045933744 -6.239647921475186, 106.62885953275536 -6.239643608841028, 106.62888888888888 -6.239642166666667, 106.6289182450224 -6.239643608841028, 106.62894731844032 -6.239647921475186, 106.62897582914972 -6.239655063036115, 106.62900350257688 -6.239664964746679, 106.62903007221156 -6.239677531247994, 106.62905528217367 -6.239692641517782, 106.62907888967749 -6.239710150035885, 106.62910066736984 -6.2397298881857015, 106.62912040551966 -6.239751665878059, 106.62913791403777 -6.239775273381877, 106.62915302430756 -6.239800483343988, 106.62916559080887 -6.239827052978673, 106.62917549251944 -6.239854726405829, 106.62918263408037 -6.239883237115223, 106.62918694671451 -6.239912310533138, 106.62918838888888 -6.239941666666667))"
Menara Matahari,"POLYGON ((106.61004949999999 -6.229191666666667, 106.61004805782562 -6.229221022800195, 106.61004374519148 -6.22925009621811, 106.61003660363055 -6.229278606927505, 106.61002670191998 -6.229306280354661, 106.61001413541867 -6.229332849989346, 106.60999902514888 -6.229358059951457, 106.60998151663077 -6.229381667455274, 106.60996177848095 -6.229403445147632, 106.6099400007886 -6.229423183297449, 106.60991639328478 -6.229440691815552, 106.60989118332267 -6.229455802085339, 106.60986461368799 -6.229468368586654, 106.60983694026083 -6.229478270297219, 106.60980842955144 -6.229485411858148, 106.60977935613352 -6.229489724492305, 106.60974999999999 -6.229491166666667, 106.60972064386647 -6.229489724492305, 106.60969157044855 -6.229485411858148, 106.60966305973915 -6.229478270297219, 106.609635386312 -6.229468368586654, 106.60960881667731 -6.229455802085339, 106.6095836067152 -6.229440691815552, 106.60955999921138 -6.229423183297449, 106.60953822151903 -6.229403445147632, 106.60951848336921 -6.229381667455274, 106.6095009748511 -6.229358059951457, 106.60948586458132 -6.229332849989346, 106.60947329808 -6.229306280354661, 106.60946339636943 -6.229278606927505, 106.6094562548085 -6.22925009621811, 106.60945194217436 -6.229221022800195, 106.6094505 -6.229191666666667, 106.60945194217436 -6.229162310533138, 106.6094562548085 -6.2291332371152235, 106.60946339636943 -6.229104726405829, 106.60947329808 -6.229077052978673, 106.60948586458132 -6.229050483343988, 106.6095009748511 -6.229025273381877, 106.60951848336921 -6.22900166587806, 106.60953822151903 -6.228979888185702, 106.60955999921138 -6.228960150035885, 106.6095836067152 -6.228942641517782, 106.60960881667731 -6.228927531247995, 106.609635386312 -6.2289149647466795, 106.60966305973915 -6.228905063036115, 106.60969157044855 -6.228897921475186, 106.60972064386647 -6.2288936088410285, 106.60974999999999 -6.228892166666667, 106.60977935613352 -6.2288936088410285, 106.60980842955144 -6.228897921475186, 106.60983694026083 -6.228905063036115, 106.60986461368799 -6.2289149647466795, 106.60989118332267 -6.228927531247995, 106.60991639328478 -6.228942641517782, 106.6099400007886 -6.228960150035885, 106.60996177848095 -6.228979888185702, 106.60998151663077 -6.22900166587806, 106.60999902514888 -6.229025273381877, 106.61001413541867 -6.229050483343988, 106.61002670191998 -6.229077052978673, 106.61003660363055 -6.229104726405829, 106.61004374519148 -6.2291332371152235, 106.61004805782562 -6.229162310533138, 106.61004949999999 -6.229191666666667))"
Sinarmasland Tangerang,"POLYGON ((106.65171616666667 -6.3013611111111105, 106.65171472449231 -6.301390467244639, 106.65171041185816 -6.301419540662554, 106.65170327029723 -6.301448051371948, 106.65169336858666 -6.301475724799104, 106.65168080208535 -6.3015022944337895, 106.65166569181557 -6.3015275043959, 106.65164818329745 -6.301551111899718, 106.65162844514764 -6.301572889592076, 106.65160666745528 -6.3015926277418925, 106.65158305995146 -6.301610136259995, 106.65155784998936 -6.301625246529783, 106.65153128035467 -6.301637813031098, 106.65150360692752 -6.301647714741662, 106.65147509621812 -6.301654856302592, 106.6514460228002 -6.301659168936749, 106.65141666666668 -6.30166061111111, 106.65138731053315 -6.301659168936749, 106.65135823711523 -6.301654856302592, 106.65132972640583 -6.301647714741662, 106.65130205297868 -6.301637813031098, 106.651275483344 -6.301625246529783, 106.65125027338189 -6.301610136259995, 106.65122666587807 -6.3015926277418925, 106.65120488818572 -6.301572889592076, 106.6511851500359 -6.301551111899718, 106.65116764151779 -6.3015275043959, 106.651152531248 -6.3015022944337895, 106.65113996474669 -6.301475724799104, 106.65113006303612 -6.301448051371948, 106.65112292147519 -6.301419540662554, 106.65111860884105 -6.301390467244639, 106.65111716666668 -6.3013611111111105, 106.65111860884105 -6.301331754977582, 106.65112292147519 -6.301302681559667, 106.65113006303612 -6.301274170850273, 106.65113996474669 -6.301246497423117, 106.651152531248 -6.3012199277884315, 106.65116764151779 -6.301194717826321, 106.6511851500359 -6.301171110322503, 106.65120488818572 -6.301149332630145, 106.65122666587807 -6.3011295944803285, 106.65125027338189 -6.301112085962226, 106.651275483344 -6.301096975692438, 106.65130205297868 -6.301084409191123, 106.65132972640583 -6.301074507480559, 106.65135823711523 -6.3010673659196295, 106.65138731053315 -6.301063053285472, 106.65141666666668 -6.301061611111111, 106.6514460228002 -6.301063053285472, 106.65147509621812 -6.3010673659196295, 106.65150360692752 -6.301074507480559, 106.65153128035467 -6.301084409191123, 106.65155784998936 -6.301096975692438, 106.65158305995146 -6.301112085962226, 106.65160666745528 -6.3011295944803285, 106.65162844514764 -6.301149332630145, 106.65164818329745 -6.301171110322503, 106.65166569181557 -6.301194717826321, 106.65168080208535 -6.3012199277884315, 106.65169336858666 -6.301246497423117, 106.65170327029723 -6.301274170850273, 106.65171041185816 -6.301302681559667, 106.65171472449231 -6.301331754977582, 106.65171616666667 -6.3013611111111105))"
Carrefour Harapan Indah,"POLYGON ((106.9762995 -6.186761111111111, 106.97629805782563 -6.18679046724464, 106.97629374519148 -6.186819540662555, 106.97628660363056 -6.186848051371949, 106.97627670191999 -6.186875724799105, 106.97626413541867 -6.18690229443379, 106.97624902514889 -6.186927504395901, 106.97623151663078 -6.1869511118997185, 106.97621177848096 -6.186972889592076, 106.9761900007886 -6.186992627741893, 106.97616639328479 -6.187010136259996, 106.97614118332268 -6.1870252465297835, 106.976114613688 -6.187037813031099, 106.97608694026084 -6.187047714741663, 106.97605842955144 -6.187054856302592, 106.97602935613352 -6.18705916893675, 106.976 -6.187060611111111, 106.97597064386648 -6.18705916893675, 106.97594157044855 -6.187054856302592, 106.97591305973916 -6.187047714741663, 106.975885386312 -6.187037813031099, 106.97585881667732 -6.1870252465297835, 106.97583360671521 -6.187010136259996, 106.97580999921139 -6.186992627741893, 106.97578822151904 -6.186972889592076, 106.97576848336922 -6.1869511118997185, 106.97575097485111 -6.186927504395901, 106.97573586458132 -6.18690229443379, 106.97572329808001 -6.186875724799105, 106.97571339636944 -6.186848051371949, 106.97570625480851 -6.186819540662555, 106.97570194217437 -6.18679046724464, 106.9757005 -6.186761111111111, 106.97570194217437 -6.186731754977583, 106.97570625480851 -6.186702681559668, 106.97571339636944 -6.1866741708502735, 106.97572329808001 -6.1866464974231175, 106.97573586458132 -6.186619927788432, 106.97575097485111 -6.186594717826321, 106.97576848336922 -6.186571110322504, 106.97578822151904 -6.186549332630146, 106.97580999921139 -6.186529594480329, 106.97583360671521 -6.186512085962226, 106.97585881667732 -6.186496975692439, 106.975885386312 -6.186484409191124, 106.97591305973916 -6.186474507480559, 106.97594157044855 -6.18646736591963, 106.97597064386648 -6.186463053285473, 106.976 -6.1864616111111115, 106.97602935613352 -6.186463053285473, 106.97605842955144 -6.18646736591963, 106.97608694026084 -6.186474507480559, 106.976114613688 -6.186484409191124, 106.97614118332268 -6.186496975692439, 106.97616639328479 -6.186512085962226, 106.9761900007886 -6.186529594480329, 106.97621177848096 -6.186549332630146, 106.97623151663078 -6.186571110322504, 106.97624902514889 -6.186594717826321, 106.97626413541867 -6.186619927788432, 106.97627670191999 -6.1866464974231175, 106.97628660363056 -6.1866741708502735, 106.97629374519148 -6.186702681559668, 106.97629805782563 -6.186731754977583, 106.9762995 -6.186761111111111))"
Summarecon Mall Bekasi,"POLYGON ((107.00098005555556 -6.224561111111111, 107.00097861338119 -6.2245904672446395, 107.00097430074705 -6.224619540662554, 107.00096715918612 -6.224648051371949, 107.00095725747555 -6.224675724799105, 107.00094469097424 -6.22470229443379, 107.00092958070445 -6.224727504395901, 107.00091207218634 -6.224751111899718, 107.00089233403652 -6.224772889592076, 107.00087055634417 -6.224792627741893, 107.00084694884035 -6.224810136259996, 107.00082173887824 -6.224825246529783, 107.00079516924356 -6.224837813031098, 107.0007674958164 -6.224847714741663, 107.000738985107 -6.224854856302592, 107.00070991168909 -6.224859168936749, 107.00068055555556 -6.224860611111111, 107.00065119942204 -6.224859168936749, 107.00062212600412 -6.224854856302592, 107.00059361529472 -6.224847714741663, 107.00056594186756 -6.224837813031098, 107.00053937223288 -6.224825246529783, 107.00051416227078 -6.224810136259996, 107.00049055476696 -6.224792627741893, 107.0004687770746 -6.224772889592076, 107.00044903892478 -6.224751111899718, 107.00043153040667 -6.224727504395901, 107.00041642013689 -6.22470229443379, 107.00040385363558 -6.224675724799105, 107.000393951925 -6.224648051371949, 107.00038681036408 -6.224619540662554, 107.00038249772993 -6.2245904672446395, 107.00038105555556 -6.224561111111111, 107.00038249772993 -6.2245317549775825, 107.00038681036408 -6.224502681559668, 107.000393951925 -6.224474170850273, 107.00040385363558 -6.224446497423117, 107.00041642013689 -6.224419927788432, 107.00043153040667 -6.224394717826321, 107.00044903892478 -6.224371110322504, 107.0004687770746 -6.224349332630146, 107.00049055476696 -6.224329594480329, 107.00051416227078 -6.224312085962226, 107.00053937223288 -6.224296975692439, 107.00056594186756 -6.224284409191124, 107.00059361529472 -6.224274507480559, 107.00062212600412 -6.22426736591963, 107.00065119942204 -6.224263053285473, 107.00068055555556 -6.224261611111111, 107.00070991168909 -6.224263053285473, 107.000738985107 -6.22426736591963, 107.0007674958164 -6.224274507480559, 107.00079516924356 -6.224284409191124, 107.00082173887824 -6.224296975692439, 107.00084694884035 -6.224312085962226, 107.00087055634417 -6.224329594480329, 107.00089233403652 -6.224349332630146, 107.00091207218634 -6.224371110322504, 107.00092958070445 -6.224394717826321, 107.00094469097424 -6.224419927788432, 107.00095725747555 -6.224446497423117, 107.00096715918612 -6.224474170850273, 107.00097430074705 -6.224502681559668, 107.00097861338119 -6.2245317549775825, 107.00098005555556 -6.224561111111111))"
Cibinong City Mall,"POLYGON ((106.84318838888888 -6.484472222222222, 106.84318694671451 -6.484501578355751, 106.84318263408036 -6.484530651773666, 106.84317549251944 -6.48455916248306, 106.84316559080887 -6.484586835910216, 106.84315302430755 -6.484613405544901, 106.84313791403777 -6.484638615507012, 106.84312040551966 -6.4846622230108295, 106.84310066736984 -6.484684000703187, 106.84307888967749 -6.484703738853004, 106.84305528217367 -6.484721247371107, 106.84303007221156 -6.4847363576408945, 106.84300350257688 -6.48474892414221, 106.84297582914972 -6.484758825852774, 106.84294731844032 -6.484765967413703, 106.8429182450224 -6.484770280047861, 106.84288888888888 -6.484771722222222, 106.84285953275536 -6.484770280047861, 106.84283045933743 -6.484765967413703, 106.84280194862804 -6.484758825852774, 106.84277427520088 -6.48474892414221, 106.8427477055662 -6.4847363576408945, 106.8427224956041 -6.484721247371107, 106.84269888810027 -6.484703738853004, 106.84267711040792 -6.484684000703187, 106.8426573722581 -6.4846622230108295, 106.84263986373999 -6.484638615507012, 106.8426247534702 -6.484613405544901, 106.84261218696889 -6.484586835910216, 106.84260228525832 -6.48455916248306, 106.8425951436974 -6.484530651773666, 106.84259083106325 -6.484501578355751, 106.84258938888888 -6.484472222222222, 106.84259083106325 -6.484442866088694, 106.8425951436974 -6.484413792670779, 106.84260228525832 -6.4843852819613845, 106.84261218696889 -6.4843576085342285, 106.8426247534702 -6.484331038899543, 106.84263986373999 -6.4843058289374325, 106.8426573722581 -6.484282221433615, 106.84267711040792 -6.484260443741257, 106.84269888810027 -6.48424070559144, 106.8427224956041 -6.484223197073337, 106.8427477055662 -6.48420808680355, 106.84277427520088 -6.484195520302235, 106.84280194862804 -6.48418561859167, 106.84283045933743 -6.484178477030741, 106.84285953275536 -6.484174164396584, 106.84288888888888 -6.4841727222222225, 106.8429182450224 -6.484174164396584, 106.84294731844032 -6.484178477030741, 106.84297582914972 -6.48418561859167, 106.84300350257688 -6.484195520302235, 106.84303007221156 -6.48420808680355, 106.84305528217367 -6.484223197073337, 106.84307888967749 -6.48424070559144, 106.84310066736984 -6.484260443741257, 106.84312040551966 -6.484282221433615, 106.84313791403777 -6.4843058289374325, 106.84315302430755 -6.484331038899543, 106.84316559080887 -6.4843576085342285, 106.84317549251944 -6.4843852819613845, 106.84318263408036 -6.484413792670779, 106.84318694671451 -6.484442866088694, 106.84318838888888 -6.484472222222222))"
RS Mitra Keluarga Depok,"POLYGON ((106.8242995 -6.393930555555556, 106.82429805782563 -6.393959911689085, 106.82429374519148 -6.393988985107, 106.82428660363055 -6.394017495816394, 106.82427670191998 -6.39404516924355, 106.82426413541867 -6.394071738878235, 106.82424902514889 -6.394096948840346, 106.82423151663077 -6.394120556344164, 106.82421177848096 -6.3941423340365215, 106.8241900007886 -6.394162072186338, 106.82416639328478 -6.394179580704441, 106.82414118332268 -6.394194690974229, 106.824114613688 -6.394207257475544, 106.82408694026084 -6.394217159186108, 106.82405842955144 -6.394224300747037, 106.82402935613352 -6.394228613381195, 106.824 -6.394230055555556, 106.82397064386647 -6.394228613381195, 106.82394157044855 -6.394224300747037, 106.82391305973916 -6.394217159186108, 106.823885386312 -6.394207257475544, 106.82385881667732 -6.394194690974229, 106.82383360671521 -6.394179580704441, 106.82380999921139 -6.394162072186338, 106.82378822151904 -6.3941423340365215, 106.82376848336922 -6.394120556344164, 106.82375097485111 -6.394096948840346, 106.82373586458132 -6.394071738878235, 106.82372329808001 -6.39404516924355, 106.82371339636944 -6.394017495816394, 106.82370625480851 -6.393988985107, 106.82370194217437 -6.393959911689085, 106.8237005 -6.393930555555556, 106.82370194217437 -6.393901199422028, 106.82370625480851 -6.393872126004113, 106.82371339636944 -6.393843615294719, 106.82372329808001 -6.393815941867563, 106.82373586458132 -6.393789372232877, 106.82375097485111 -6.393764162270767, 106.82376848336922 -6.393740554766949, 106.82378822151904 -6.393718777074591, 106.82380999921139 -6.393699038924774, 106.82383360671521 -6.393681530406671, 106.82385881667732 -6.393666420136884, 106.823885386312 -6.393653853635569, 106.82391305973916 -6.393643951925005, 106.82394157044855 -6.393636810364075, 106.82397064386647 -6.393632497729918, 106.824 -6.393631055555557, 106.82402935613352 -6.393632497729918, 106.82405842955144 -6.393636810364075, 106.82408694026084 -6.393643951925005, 106.824114613688 -6.393653853635569, 106.82414118332268 -6.393666420136884, 106.82416639328478 -6.393681530406671, 106.8241900007886 -6.393699038924774, 106.82421177848096 -6.393718777074591, 106.82423151663077 -6.393740554766949, 106.82424902514889 -6.393764162270767, 106.82426413541867 -6.393789372232877, 106.82427670191998 -6.393815941867563, 106.82428660363055 -6.393843615294719, 106.82429374519148 -6.393872126004113, 106.82429805782563 -6.393901199422028, 106.8242995 -6.393930555555556))"
Pesona Square Depok,"POLYGON ((106.8449895 -6.380065, 106.84498805782563 -6.380094356133529, 106.84498374519148 -6.3801234295514435, 106.84497660363056 -6.380151940260838, 106.84496670191999 -6.380179613687994, 106.84495413541867 -6.380206183322679, 106.84493902514889 -6.38023139328479, 106.84492151663078 -6.380255000788607, 106.84490177848096 -6.380276778480965, 106.8448800007886 -6.380296516630782, 106.84485639328479 -6.380314025148885, 106.84483118332268 -6.380329135418672, 106.844804613688 -6.3803417019199875, 106.84477694026084 -6.380351603630552, 106.84474842955144 -6.380358745191481, 106.84471935613352 -6.3803630578256385, 106.84469 -6.3803645, 106.84466064386648 -6.3803630578256385, 106.84463157044856 -6.380358745191481, 106.84460305973916 -6.380351603630552, 106.844575386312 -6.3803417019199875, 106.84454881667732 -6.380329135418672, 106.84452360671521 -6.380314025148885, 106.8444999992114 -6.380296516630782, 106.84447822151904 -6.380276778480965, 106.84445848336922 -6.380255000788607, 106.84444097485111 -6.38023139328479, 106.84442586458132 -6.380206183322679, 106.84441329808001 -6.380179613687994, 106.84440339636944 -6.380151940260838, 106.84439625480852 -6.3801234295514435, 106.84439194217437 -6.380094356133529, 106.8443905 -6.380065, 106.84439194217437 -6.380035643866472, 106.84439625480852 -6.380006570448557, 106.84440339636944 -6.379978059739162, 106.84441329808001 -6.379950386312006, 106.84442586458132 -6.379923816677321, 106.84444097485111 -6.37989860671521, 106.84445848336922 -6.379874999211393, 106.84447822151904 -6.379853221519035, 106.8444999992114 -6.379833483369218, 106.84452360671521 -6.379815974851115, 106.84454881667732 -6.379800864581328, 106.844575386312 -6.379788298080013, 106.84460305973916 -6.379778396369448, 106.84463157044856 -6.379771254808519, 106.84466064386648 -6.379766942174362, 106.84469 -6.3797655, 106.84471935613352 -6.379766942174362, 106.84474842955144 -6.379771254808519, 106.84477694026084 -6.379778396369448, 106.844804613688 -6.379788298080013, 106.84483118332268 -6.379800864581328, 106.84485639328479 -6.379815974851115, 106.8448800007886 -6.379833483369218, 106.84490177848096 -6.379853221519035, 106.84492151663078 -6.379874999211393, 106.84493902514889 -6.37989860671521, 106.84495413541867 -6.379923816677321, 106.84496670191999 -6.379950386312006, 106.84497660363056 -6.379978059739162, 106.84498374519148 -6.380006570448557, 106.84498805782563 -6.380035643866472, 106.8449895 -6.380065))"
RS Cito Karawang,"POLYGON ((107.27839949999999 -6.30541, 107.27839805782563 -6.305439356133529, 107.27839374519148 -6.305468429551444, 107.27838660363055 -6.305496940260838, 107.27837670191998 -6.305524613687994, 107.27836413541867 -6.305551183322679, 107.27834902514888 -6.30557639328479, 107.27833151663077 -6.3056000007886075, 107.27831177848095 -6.305621778480965, 107.2782900007886 -6.305641516630782, 107.27826639328478 -6.305659025148885, 107.27824118332268 -6.3056741354186725, 107.278214613688 -6.305686701919988, 107.27818694026084 -6.305696603630552, 107.27815842955144 -6.305703745191481, 107.27812935613352 -6.305708057825639, 107.2781 -6.3057095, 107.27807064386647 -6.305708057825639, 107.27804157044855 -6.305703745191481, 107.27801305973915 -6.305696603630552, 107.277985386312 -6.305686701919988, 107.27795881667731 -6.3056741354186725, 107.27793360671521 -6.305659025148885, 107.27790999921139 -6.305641516630782, 107.27788822151904 -6.305621778480965, 107.27786848336922 -6.3056000007886075, 107.2778509748511 -6.30557639328479, 107.27783586458132 -6.305551183322679, 107.27782329808001 -6.305524613687994, 107.27781339636944 -6.305496940260838, 107.27780625480851 -6.305468429551444, 107.27780194217436 -6.305439356133529, 107.2778005 -6.30541, 107.27780194217436 -6.305380643866472, 107.27780625480851 -6.305351570448557, 107.27781339636944 -6.3053230597391625, 107.27782329808001 -6.3052953863120065, 107.27783586458132 -6.305268816677321, 107.2778509748511 -6.3052436067152104, 107.27786848336922 -6.305219999211393, 107.27788822151904 -6.305198221519035, 107.27790999921139 -6.305178483369218, 107.27793360671521 -6.305160974851115, 107.27795881667731 -6.305145864581328, 107.277985386312 -6.305133298080013, 107.27801305973915 -6.305123396369448, 107.27804157044855 -6.305116254808519, 107.27807064386647 -6.305111942174362, 107.2781 -6.3051105000000005, 107.27812935613352 -6.305111942174362, 107.27815842955144 -6.305116254808519, 107.27818694026084 -6.305123396369448, 107.278214613688 -6.305133298080013, 107.27824118332268 -6.305145864581328, 107.27826639328478 -6.305160974851115, 107.2782900007886 -6.305178483369218, 107.27831177848095 -6.305198221519035, 107.27833151663077 -6.305219999211393, 107.27834902514888 -6.3052436067152104, 107.27836413541867 -6.305268816677321, 107.27837670191998 -6.3052953863120065, 107.27838660363055 -6.3053230597391625, 107.27839374519148 -6.305351570448557, 107.27839805782563 -6.305380643866472, 107.27839949999999 -6.30541))"
