polygon_name,WKT
1_Mangkuluhur,"POLYGON ((106.81481339999999 -6.2209364, 106.81481195782563 -6.220965756133529, 106.81480764519148 -6.220994829551444, 106.81480050363055 -6.221023340260838, 106.81479060191998 -6.221051013687994, 106.81477803541867 -6.221077583322679, 106.81476292514888 -6.22110279328479, 106.81474541663077 -6.221126400788608, 106.81472567848095 -6.2211481784809655, 106.8147039007886 -6.221167916630782, 106.81468029328478 -6.221185425148885, 106.81465508332268 -6.221200535418673, 106.81462851368799 -6.221213101919988, 106.81460084026084 -6.221223003630552, 106.81457232955144 -6.221230145191481, 106.81454325613352 -6.221234457825639, 106.8145139 -6.2212359, 106.81448454386647 -6.221234457825639, 106.81445547044855 -6.221230145191481, 106.81442695973915 -6.221223003630552, 106.814399286312 -6.221213101919988, 106.81437271667731 -6.221200535418673, 106.81434750671521 -6.221185425148885, 106.81432389921139 -6.221167916630782, 106.81430212151903 -6.2211481784809655, 106.81428238336922 -6.221126400788608, 106.8142648748511 -6.22110279328479, 106.81424976458132 -6.221077583322679, 106.81423719808001 -6.221051013687994, 106.81422729636944 -6.221023340260838, 106.81422015480851 -6.220994829551444, 106.81421584217436 -6.220965756133529, 106.8142144 -6.2209364, 106.81421584217436 -6.220907043866472, 106.81422015480851 -6.220877970448557, 106.81422729636944 -6.220849459739163, 106.81423719808001 -6.2208217863120066, 106.81424976458132 -6.220795216677321, 106.8142648748511 -6.2207700067152105, 106.81428238336922 -6.220746399211393, 106.81430212151903 -6.220724621519035, 106.81432389921139 -6.220704883369218, 106.81434750671521 -6.220687374851115, 106.81437271667731 -6.220672264581328, 106.814399286312 -6.220659698080013, 106.81442695973915 -6.2206497963694485, 106.81445547044855 -6.220642654808519, 106.81448454386647 -6.220638342174362, 106.8145139 -6.220636900000001, 106.81454325613352 -6.220638342174362, 106.81457232955144 -6.220642654808519, 106.81460084026084 -6.2206497963694485, 106.81462851368799 -6.220659698080013, 106.81465508332268 -6.220672264581328, 106.81468029328478 -6.220687374851115, 106.8147039007886 -6.220704883369218, 106.81472567848095 -6.220724621519035, 106.81474541663077 -6.220746399211393, 106.81476292514888 -6.2207700067152105, 106.81477803541867 -6.220795216677321, 106.81479060191998 -6.2208217863120066, 106.81480050363055 -6.220849459739163, 106.81480764519148 -6.220877970448557, 106.81481195782563 -6.220907043866472, 106.81481339999999 -6.2209364))"
2_RDTX,"POLYGON ((106.8220013 -6.2235675, 106.82199985782563 -6.223596856133528, 106.82199554519148 -6.223625929551443, 106.82198840363056 -6.223654440260837, 106.82197850191999 -6.223682113687993, 106.82196593541867 -6.223708683322679, 106.82195082514889 -6.223733893284789, 106.82193331663078 -6.223757500788607, 106.82191357848096 -6.223779278480965, 106.8218918007886 -6.223799016630782, 106.82186819328479 -6.223816525148885, 106.82184298332268 -6.223831635418672, 106.821816413688 -6.223844201919987, 106.82178874026084 -6.2238541036305515, 106.82176022955144 -6.223861245191481, 106.82173115613352 -6.223865557825638, 106.8217018 -6.223866999999999, 106.82167244386648 -6.223865557825638, 106.82164337044856 -6.223861245191481, 106.82161485973916 -6.2238541036305515, 106.821587186312 -6.223844201919987, 106.82156061667732 -6.223831635418672, 106.82153540671521 -6.223816525148885, 106.8215117992114 -6.223799016630782, 106.82149002151904 -6.223779278480965, 106.82147028336922 -6.223757500788607, 106.82145277485111 -6.223733893284789, 106.82143766458132 -6.223708683322679, 106.82142509808001 -6.223682113687993, 106.82141519636944 -6.223654440260837, 106.82140805480851 -6.223625929551443, 106.82140374217437 -6.223596856133528, 106.8214023 -6.2235675, 106.82140374217437 -6.223538143866471, 106.82140805480851 -6.223509070448556, 106.82141519636944 -6.223480559739162, 106.82142509808001 -6.223452886312006, 106.82143766458132 -6.223426316677321, 106.82145277485111 -6.22340110671521, 106.82147028336922 -6.223377499211392, 106.82149002151904 -6.2233557215190345, 106.8215117992114 -6.223335983369218, 106.82153540671521 -6.223318474851115, 106.82156061667732 -6.223303364581327, 106.821587186312 -6.223290798080012, 106.82161485973916 -6.223280896369448, 106.82164337044856 -6.223273754808519, 106.82167244386648 -6.223269442174361, 106.8217018 -6.223268, 106.82173115613352 -6.223269442174361, 106.82176022955144 -6.223273754808519, 106.82178874026084 -6.223280896369448, 106.821816413688 -6.223290798080012, 106.82184298332268 -6.223303364581327, 106.82186819328479 -6.223318474851115, 106.8218918007886 -6.223335983369218, 106.82191357848096 -6.2233557215190345, 106.82193331663078 -6.223377499211392, 106.82195082514889 -6.22340110671521, 106.82196593541867 -6.223426316677321, 106.82197850191999 -6.223452886312006, 106.82198840363056 -6.223480559739162, 106.82199554519148 -6.223509070448556, 106.82199985782563 -6.223538143866471, 106.8220013 -6.2235675))"
3_Park Tower MNC Land,"POLYGON ((106.8292617 -6.1845925, 106.82926025782564 -6.184621856133528, 106.82925594519149 -6.184650929551443, 106.82924880363056 -6.184679440260838, 106.82923890192 -6.184707113687994, 106.82922633541868 -6.184733683322679, 106.8292112251489 -6.18475889328479, 106.82919371663078 -6.184782500788607, 106.82917397848097 -6.184804278480965, 106.82915220078861 -6.184824016630782, 106.82912859328479 -6.184841525148885, 106.82910338332269 -6.184856635418672, 106.829076813688 -6.184869201919987, 106.82904914026085 -6.184879103630552, 106.82902062955145 -6.184886245191481, 106.82899155613353 -6.184890557825638, 106.8289622 -6.184892, 106.82893284386648 -6.184890557825638, 106.82890377044856 -6.184886245191481, 106.82887525973916 -6.184879103630552, 106.82884758631201 -6.184869201919987, 106.82882101667732 -6.184856635418672, 106.82879580671522 -6.184841525148885, 106.8287721992114 -6.184824016630782, 106.82875042151905 -6.184804278480965, 106.82873068336923 -6.184782500788607, 106.82871317485112 -6.18475889328479, 106.82869806458133 -6.184733683322679, 106.82868549808002 -6.184707113687994, 106.82867559636945 -6.184679440260838, 106.82866845480852 -6.184650929551443, 106.82866414217438 -6.184621856133528, 106.82866270000001 -6.1845925, 106.82866414217438 -6.184563143866471, 106.82866845480852 -6.1845340704485565, 106.82867559636945 -6.184505559739162, 106.82868549808002 -6.184477886312006, 106.82869806458133 -6.184451316677321, 106.82871317485112 -6.18442610671521, 106.82873068336923 -6.184402499211393, 106.82875042151905 -6.184380721519035, 106.8287721992114 -6.184360983369218, 106.82879580671522 -6.184343474851115, 106.82882101667732 -6.184328364581328, 106.82884758631201 -6.1843157980800125, 106.82887525973916 -6.184305896369448, 106.82890377044856 -6.184298754808519, 106.82893284386648 -6.1842944421743615, 106.8289622 -6.184293, 106.82899155613353 -6.1842944421743615, 106.82902062955145 -6.184298754808519, 106.82904914026085 -6.184305896369448, 106.829076813688 -6.1843157980800125, 106.82910338332269 -6.184328364581328, 106.82912859328479 -6.184343474851115, 106.82915220078861 -6.184360983369218, 106.82917397848097 -6.184380721519035, 106.82919371663078 -6.184402499211393, 106.8292112251489 -6.18442610671521, 106.82922633541868 -6.184451316677321, 106.82923890192 -6.184477886312006, 106.82924880363056 -6.184505559739162, 106.82925594519149 -6.1845340704485565, 106.82926025782564 -6.184563143866471, 106.8292617 -6.1845925))"
4_Verde 2,"POLYGON ((106.8299858 -6.2140047, 106.82998435782564 -6.214034056133529, 106.82998004519149 -6.214063129551444, 106.82997290363056 -6.214091640260838, 106.82996300191999 -6.214119313687994, 106.82995043541868 -6.214145883322679, 106.8299353251489 -6.21417109328479, 106.82991781663078 -6.214194700788608, 106.82989807848097 -6.2142164784809655, 106.82987630078861 -6.214236216630782, 106.82985269328479 -6.214253725148885, 106.82982748332269 -6.214268835418673, 106.829800913688 -6.214281401919988, 106.82977324026085 -6.214291303630552, 106.82974472955145 -6.214298445191481, 106.82971565613353 -6.214302757825639, 106.8296863 -6.2143042, 106.82965694386648 -6.214302757825639, 106.82962787044856 -6.214298445191481, 106.82959935973916 -6.214291303630552, 106.82957168631201 -6.214281401919988, 106.82954511667732 -6.214268835418673, 106.82951990671522 -6.214253725148885, 106.8294962992114 -6.214236216630782, 106.82947452151905 -6.2142164784809655, 106.82945478336923 -6.214194700788608, 106.82943727485112 -6.21417109328479, 106.82942216458133 -6.214145883322679, 106.82940959808002 -6.214119313687994, 106.82939969636945 -6.214091640260838, 106.82939255480852 -6.214063129551444, 106.82938824217437 -6.214034056133529, 106.82938680000001 -6.2140047, 106.82938824217437 -6.213975343866472, 106.82939255480852 -6.213946270448557, 106.82939969636945 -6.213917759739163, 106.82940959808002 -6.213890086312007, 106.82942216458133 -6.213863516677321, 106.82943727485112 -6.2138383067152105, 106.82945478336923 -6.213814699211393, 106.82947452151905 -6.213792921519035, 106.8294962992114 -6.213773183369218, 106.82951990671522 -6.213755674851115, 106.82954511667732 -6.213740564581328, 106.82957168631201 -6.213727998080013, 106.82959935973916 -6.2137180963694485, 106.82962787044856 -6.213710954808519, 106.82965694386648 -6.213706642174362, 106.8296863 -6.213705200000001, 106.82971565613353 -6.213706642174362, 106.82974472955145 -6.213710954808519, 106.82977324026085 -6.2137180963694485, 106.829800913688 -6.213727998080013, 106.82982748332269 -6.213740564581328, 106.82985269328479 -6.213755674851115, 106.82987630078861 -6.213773183369218, 106.82989807848097 -6.213792921519035, 106.82991781663078 -6.213814699211393, 106.8299353251489 -6.2138383067152105, 106.82995043541868 -6.213863516677321, 106.82996300191999 -6.213890086312007, 106.82997290363056 -6.213917759739163, 106.82998004519149 -6.213946270448557, 106.82998435782564 -6.213975343866472, 106.8299858 -6.2140047))"
5_Perpustakaan Nasional,"POLYGON ((106.82294399999999 -6.1812865, 106.82294255782563 -6.181315856133528, 106.82293824519148 -6.181344929551443, 106.82293110363055 -6.181373440260837, 106.82292120191998 -6.181401113687993, 106.82290863541867 -6.181427683322679, 106.82289352514888 -6.181452893284789, 106.82287601663077 -6.181476500788607, 106.82285627848096 -6.181498278480965, 106.8228345007886 -6.181518016630782, 106.82281089328478 -6.181535525148885, 106.82278568332268 -6.181550635418672, 106.822759113688 -6.181563201919987, 106.82273144026084 -6.1815731036305515, 106.82270292955144 -6.181580245191481, 106.82267385613352 -6.181584557825638, 106.8226445 -6.181585999999999, 106.82261514386647 -6.181584557825638, 106.82258607044855 -6.181580245191481, 106.82255755973915 -6.1815731036305515, 106.822529886312 -6.181563201919987, 106.82250331667731 -6.181550635418672, 106.82247810671521 -6.181535525148885, 106.82245449921139 -6.181518016630782, 106.82243272151904 -6.181498278480965, 106.82241298336922 -6.181476500788607, 106.8223954748511 -6.181452893284789, 106.82238036458132 -6.181427683322679, 106.82236779808001 -6.181401113687993, 106.82235789636944 -6.181373440260837, 106.82235075480851 -6.181344929551443, 106.82234644217436 -6.181315856133528, 106.822345 -6.1812865, 106.82234644217436 -6.181257143866471, 106.82235075480851 -6.181228070448556, 106.82235789636944 -6.181199559739162, 106.82236779808001 -6.181171886312006, 106.82238036458132 -6.181145316677321, 106.8223954748511 -6.18112010671521, 106.82241298336922 -6.181096499211392, 106.82243272151904 -6.1810747215190345, 106.82245449921139 -6.181054983369218, 106.82247810671521 -6.181037474851115, 106.82250331667731 -6.181022364581327, 106.822529886312 -6.181009798080012, 106.82255755973915 -6.180999896369448, 106.82258607044855 -6.180992754808519, 106.82261514386647 -6.180988442174361, 106.8226445 -6.180987, 106.82267385613352 -6.180988442174361, 106.82270292955144 -6.180992754808519, 106.82273144026084 -6.180999896369448, 106.822759113688 -6.181009798080012, 106.82278568332268 -6.181022364581327, 106.82281089328478 -6.181037474851115, 106.8228345007886 -6.181054983369218, 106.82285627848096 -6.1810747215190345, 106.82287601663077 -6.181096499211392, 106.82289352514888 -6.18112010671521, 106.82290863541867 -6.181145316677321, 106.82292120191998 -6.181171886312006, 106.82293110363055 -6.181199559739162, 106.82293824519148 -6.181228070448556, 106.82294255782563 -6.181257143866471, 106.82294399999999 -6.1812865))"
6_Rajawali Place,"POLYGON ((106.8262384 -6.205793, 106.82623695782563 -6.205822356133528, 106.82623264519148 -6.205851429551443, 106.82622550363055 -6.205879940260838, 106.82621560191998 -6.205907613687994, 106.82620303541867 -6.205934183322679, 106.82618792514889 -6.20595939328479, 106.82617041663077 -6.205983000788607, 106.82615067848096 -6.206004778480965, 106.8261289007886 -6.206024516630782, 106.82610529328478 -6.206042025148885, 106.82608008332268 -6.206057135418672, 106.826053513688 -6.206069701919987, 106.82602584026084 -6.206079603630552, 106.82599732955144 -6.206086745191481, 106.82596825613352 -6.206091057825638, 106.8259389 -6.2060925, 106.82590954386647 -6.206091057825638, 106.82588047044855 -6.206086745191481, 106.82585195973915 -6.206079603630552, 106.825824286312 -6.206069701919987, 106.82579771667731 -6.206057135418672, 106.82577250671521 -6.206042025148885, 106.82574889921139 -6.206024516630782, 106.82572712151904 -6.206004778480965, 106.82570738336922 -6.205983000788607, 106.82568987485111 -6.20595939328479, 106.82567476458132 -6.205934183322679, 106.82566219808001 -6.205907613687994, 106.82565229636944 -6.205879940260838, 106.82564515480851 -6.205851429551443, 106.82564084217437 -6.205822356133528, 106.8256394 -6.205793, 106.82564084217437 -6.205763643866471, 106.82564515480851 -6.2057345704485565, 106.82565229636944 -6.205706059739162, 106.82566219808001 -6.205678386312006, 106.82567476458132 -6.205651816677321, 106.82568987485111 -6.20562660671521, 106.82570738336922 -6.205602999211393, 106.82572712151904 -6.205581221519035, 106.82574889921139 -6.205561483369218, 106.82577250671521 -6.205543974851115, 106.82579771667731 -6.205528864581328, 106.825824286312 -6.2055162980800125, 106.82585195973915 -6.205506396369448, 106.82588047044855 -6.205499254808519, 106.82590954386647 -6.2054949421743615, 106.8259389 -6.2054935, 106.82596825613352 -6.2054949421743615, 106.82599732955144 -6.205499254808519, 106.82602584026084 -6.205506396369448, 106.826053513688 -6.2055162980800125, 106.82608008332268 -6.205528864581328, 106.82610529328478 -6.205543974851115, 106.8261289007886 -6.205561483369218, 106.82615067848096 -6.205581221519035, 106.82617041663077 -6.205602999211393, 106.82618792514889 -6.20562660671521, 106.82620303541867 -6.205651816677321, 106.82621560191998 -6.205678386312006, 106.82622550363055 -6.205706059739162, 106.82623264519148 -6.2057345704485565, 106.82623695782563 -6.205763643866471, 106.8262384 -6.205793))"
7_ASTRA BUANA INSURANCE OFFICE BUILDING,"POLYGON ((106.9021474 -6.1579492, 106.90214595782564 -6.1579785561335285, 106.90214164519149 -6.158007629551443, 106.90213450363056 -6.158036140260838, 106.90212460192 -6.158063813687994, 106.90211203541868 -6.158090383322679, 106.9020969251489 -6.15811559328479, 106.90207941663078 -6.158139200788607, 106.90205967848097 -6.158160978480965, 106.90203790078861 -6.158180716630782, 106.9020142932848 -6.158198225148885, 106.90198908332269 -6.158213335418672, 106.901962513688 -6.158225901919987, 106.90193484026085 -6.158235803630552, 106.90190632955145 -6.158242945191481, 106.90187725613353 -6.158247257825638, 106.9018479 -6.1582487, 106.90181854386648 -6.158247257825638, 106.90178947044856 -6.158242945191481, 106.90176095973916 -6.158235803630552, 106.90173328631201 -6.158225901919987, 106.90170671667732 -6.158213335418672, 106.90168150671522 -6.158198225148885, 106.9016578992114 -6.158180716630782, 106.90163612151905 -6.158160978480965, 106.90161638336923 -6.158139200788607, 106.90159887485112 -6.15811559328479, 106.90158376458133 -6.158090383322679, 106.90157119808002 -6.158063813687994, 106.90156129636945 -6.158036140260838, 106.90155415480852 -6.158007629551443, 106.90154984217438 -6.1579785561335285, 106.90154840000001 -6.1579492, 106.90154984217438 -6.1579198438664715, 106.90155415480852 -6.157890770448557, 106.90156129636945 -6.157862259739162, 106.90157119808002 -6.157834586312006, 106.90158376458133 -6.157808016677321, 106.90159887485112 -6.15778280671521, 106.90161638336923 -6.157759199211393, 106.90163612151905 -6.157737421519035, 106.9016578992114 -6.157717683369218, 106.90168150671522 -6.157700174851115, 106.90170671667732 -6.157685064581328, 106.90173328631201 -6.157672498080013, 106.90176095973916 -6.157662596369448, 106.90178947044856 -6.157655454808519, 106.90181854386648 -6.157651142174362, 106.9018479 -6.1576497, 106.90187725613353 -6.157651142174362, 106.90190632955145 -6.157655454808519, 106.90193484026085 -6.157662596369448, 106.901962513688 -6.157672498080013, 106.90198908332269 -6.157685064581328, 106.9020142932848 -6.157700174851115, 106.90203790078861 -6.157717683369218, 106.90205967848097 -6.157737421519035, 106.90207941663078 -6.157759199211393, 106.9020969251489 -6.15778280671521, 106.90211203541868 -6.157808016677321, 106.90212460192 -6.157834586312006, 106.90213450363056 -6.157862259739162, 106.90214164519149 -6.157890770448557, 106.90214595782564 -6.1579198438664715, 106.9021474 -6.1579492))"
8_WISMAMAKTOUR,"POLYGON ((106.8687195 -6.23796, 106.86871805782563 -6.237989356133529, 106.86871374519149 -6.238018429551444, 106.86870660363056 -6.238046940260838, 106.86869670191999 -6.238074613687994, 106.86868413541868 -6.238101183322679, 106.86866902514889 -6.23812639328479, 106.86865151663078 -6.2381500007886075, 106.86863177848096 -6.238171778480965, 106.8686100007886 -6.238191516630782, 106.86858639328479 -6.238209025148885, 106.86856118332268 -6.2382241354186725, 106.868534613688 -6.238236701919988, 106.86850694026084 -6.238246603630552, 106.86847842955144 -6.238253745191481, 106.86844935613352 -6.238258057825639, 106.86842 -6.2382595, 106.86839064386648 -6.238258057825639, 106.86836157044856 -6.238253745191481, 106.86833305973916 -6.238246603630552, 106.868305386312 -6.238236701919988, 106.86827881667732 -6.2382241354186725, 106.86825360671521 -6.238209025148885, 106.8682299992114 -6.238191516630782, 106.86820822151904 -6.238171778480965, 106.86818848336922 -6.2381500007886075, 106.86817097485111 -6.23812639328479, 106.86815586458133 -6.238101183322679, 106.86814329808001 -6.238074613687994, 106.86813339636944 -6.238046940260838, 106.86812625480852 -6.238018429551444, 106.86812194217437 -6.237989356133529, 106.8681205 -6.23796, 106.86812194217437 -6.237930643866472, 106.86812625480852 -6.237901570448557, 106.86813339636944 -6.2378730597391625, 106.86814329808001 -6.2378453863120065, 106.86815586458133 -6.237818816677321, 106.86817097485111 -6.23779360671521, 106.86818848336922 -6.237769999211393, 106.86820822151904 -6.237748221519035, 106.8682299992114 -6.237728483369218, 106.86825360671521 -6.237710974851115, 106.86827881667732 -6.237695864581328, 106.868305386312 -6.237683298080013, 106.86833305973916 -6.237673396369448, 106.86836157044856 -6.237666254808519, 106.86839064386648 -6.237661942174362, 106.86842 -6.2376605000000005, 106.86844935613352 -6.237661942174362, 106.86847842955144 -6.237666254808519, 106.86850694026084 -6.237673396369448, 106.868534613688 -6.237683298080013, 106.86856118332268 -6.237695864581328, 106.86858639328479 -6.237710974851115, 106.8686100007886 -6.237728483369218, 106.86863177848096 -6.237748221519035, 106.86865151663078 -6.237769999211393, 106.86866902514889 -6.23779360671521, 106.86868413541868 -6.237818816677321, 106.86869670191999 -6.2378453863120065, 106.86870660363056 -6.2378730597391625, 106.86871374519149 -6.237901570448557, 106.86871805782563 -6.237930643866472, 106.8687195 -6.23796))"
9_RS PURI MEDIKA,"POLYGON ((106.8904185 -6.129403, 106.89041705782563 -6.129432356133528, 106.89041274519148 -6.129461429551443, 106.89040560363055 -6.129489940260838, 106.89039570191999 -6.129517613687994, 106.89038313541867 -6.129544183322679, 106.89036802514889 -6.12956939328479, 106.89035051663078 -6.129593000788607, 106.89033077848096 -6.129614778480965, 106.8903090007886 -6.129634516630782, 106.89028539328478 -6.129652025148885, 106.89026018332268 -6.129667135418672, 106.890233613688 -6.129679701919987, 106.89020594026084 -6.129689603630552, 106.89017742955144 -6.129696745191481, 106.89014835613352 -6.129701057825638, 106.890119 -6.1297025, 106.89008964386647 -6.129701057825638, 106.89006057044855 -6.129696745191481, 106.89003205973916 -6.129689603630552, 106.890004386312 -6.129679701919987, 106.88997781667732 -6.129667135418672, 106.88995260671521 -6.129652025148885, 106.88992899921139 -6.129634516630782, 106.88990722151904 -6.129614778480965, 106.88988748336922 -6.129593000788607, 106.88986997485111 -6.12956939328479, 106.88985486458132 -6.129544183322679, 106.88984229808001 -6.129517613687994, 106.88983239636944 -6.129489940260838, 106.88982525480851 -6.129461429551443, 106.88982094217437 -6.129432356133528, 106.8898195 -6.129403, 106.88982094217437 -6.129373643866471, 106.88982525480851 -6.1293445704485565, 106.88983239636944 -6.129316059739162, 106.88984229808001 -6.129288386312006, 106.88985486458132 -6.129261816677321, 106.88986997485111 -6.12923660671521, 106.88988748336922 -6.129212999211393, 106.88990722151904 -6.129191221519035, 106.88992899921139 -6.129171483369218, 106.88995260671521 -6.129153974851115, 106.88997781667732 -6.129138864581328, 106.890004386312 -6.1291262980800125, 106.89003205973916 -6.129116396369448, 106.89006057044855 -6.129109254808519, 106.89008964386647 -6.1291049421743615, 106.890119 -6.1291035, 106.89014835613352 -6.1291049421743615, 106.89017742955144 -6.129109254808519, 106.89020594026084 -6.129116396369448, 106.890233613688 -6.1291262980800125, 106.89026018332268 -6.129138864581328, 106.89028539328478 -6.129153974851115, 106.8903090007886 -6.129171483369218, 106.89033077848096 -6.129191221519035, 106.89035051663078 -6.129212999211393, 106.89036802514889 -6.12923660671521, 106.89038313541867 -6.129261816677321, 106.89039570191999 -6.129288386312006, 106.89040560363055 -6.129316059739162, 106.89041274519148 -6.1293445704485565, 106.89041705782563 -6.129373643866471, 106.8904185 -6.129403))"
10_TOYOTAASTRA,"POLYGON ((106.8907995 -6.14161, 106.89079805782563 -6.1416393561335285, 106.89079374519149 -6.141668429551443, 106.89078660363056 -6.141696940260838, 106.89077670191999 -6.141724613687994, 106.89076413541868 -6.141751183322679, 106.89074902514889 -6.14177639328479, 106.89073151663078 -6.141800000788607, 106.89071177848096 -6.141821778480965, 106.89069000078861 -6.141841516630782, 106.89066639328479 -6.141859025148885, 106.89064118332269 -6.141874135418672, 106.890614613688 -6.141886701919987, 106.89058694026085 -6.141896603630552, 106.89055842955145 -6.141903745191481, 106.89052935613353 -6.141908057825638, 106.8905 -6.1419095, 106.89047064386648 -6.141908057825638, 106.89044157044856 -6.141903745191481, 106.89041305973916 -6.141896603630552, 106.890385386312 -6.141886701919987, 106.89035881667732 -6.141874135418672, 106.89033360671522 -6.141859025148885, 106.8903099992114 -6.141841516630782, 106.89028822151904 -6.141821778480965, 106.89026848336923 -6.141800000788607, 106.89025097485111 -6.14177639328479, 106.89023586458133 -6.141751183322679, 106.89022329808002 -6.141724613687994, 106.89021339636945 -6.141696940260838, 106.89020625480852 -6.141668429551443, 106.89020194217437 -6.1416393561335285, 106.8902005 -6.14161, 106.89020194217437 -6.1415806438664715, 106.89020625480852 -6.141551570448557, 106.89021339636945 -6.141523059739162, 106.89022329808002 -6.141495386312006, 106.89023586458133 -6.141468816677321, 106.89025097485111 -6.14144360671521, 106.89026848336923 -6.141419999211393, 106.89028822151904 -6.141398221519035, 106.8903099992114 -6.141378483369218, 106.89033360671522 -6.141360974851115, 106.89035881667732 -6.141345864581328, 106.890385386312 -6.141333298080013, 106.89041305973916 -6.141323396369448, 106.89044157044856 -6.141316254808519, 106.89047064386648 -6.141311942174362, 106.8905 -6.1413105, 106.89052935613353 -6.141311942174362, 106.89055842955145 -6.141316254808519, 106.89058694026085 -6.141323396369448, 106.890614613688 -6.141333298080013, 106.89064118332269 -6.141345864581328, 106.89066639328479 -6.141360974851115, 106.89069000078861 -6.141378483369218, 106.89071177848096 -6.141398221519035, 106.89073151663078 -6.141419999211393, 106.89074902514889 -6.14144360671521, 106.89076413541868 -6.141468816677321, 106.89077670191999 -6.141495386312006, 106.89078660363056 -6.141523059739162, 106.89079374519149 -6.141551570448557, 106.89079805782563 -6.1415806438664715, 106.8907995 -6.14161))"
