Polygon_Name,Concatenate,rsrp-pop ,RSRP Percentage,RSRP-AVG,Review (Detail Reason)
1_Mangkuluhur,1_Mangkuluhur|442PC152E_CO|420993|34,10151,25%,-85.6576692,OK -> GO
1_Mangkuluhur,1_Mangkuluhur|442PL629E|421177|26,9048,22%,-98.15108311,OK -> GO
1_Mangkuluhur,1_Mangkuluhur|442PC152E_CO|420993|26,5773,14%,-77.14048155,OK -> GO
1_Mangkuluhur,1_Mangkuluhur|442PC152E_CO|420993|37,3983,10%,-84.37559628,OK -> GO
1_Mangkuluhur,1_Mangkuluhur|4435026E_CO|420041|6,2937,7%,-86.39666326,OK -> GO
1_Mangkuluhur,1_Mangkuluhur|442PL629E|421177|29,2368,6%,-102.5460304,OK -> GO
1_Mangkuluhur,1_Mangkuluhur|442PC152E_CO|420993|14,2356,6%,-82.17062818,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|4412795E_CO|411069|5,249,6%,-94.53012048,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|4412992E_CO|410730|1,227,5%,-95.16740088,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|4412992E_CO|410730|4,362,8%,-94.77624309,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|4412992E_CO|410730|7,870,20%,-96.02413793,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|4415042E_CO|410037|2,402,9%,-93.58208955,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|4415042E_CO|410037|8,432,10%,-97.60185185,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|SH4412786E_CO|410895|1,569,13%,-91,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|SH4412786E_CO|410895|7,326,7%,-90.85276074,OK -> GO
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|14,3886,11%,-85.59161091,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|4,4533,13%,-83.27685859,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|5,7387,21%,-82.69541086,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|6,9749,28%,-80.99599959,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|541PL064N_CO|420980|16,4340,12%,-87.12580645,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|541PL064N_CO|420980|19,1940,5%,-89.20721649,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|541PL064N_CO|420980|3,2352,7%,-84.71981293,NOT GO -> Have Pico
1000_Poltekkes3-TBS,1000_Poltekkes3-TBS|441PL300E_CO|440659|4,11199,47%,-75.90302706,NOT GO -> Have Pico
1000_Poltekkes3-TBS,1000_Poltekkes3-TBS|4445624E_CO|440602|5,5224,22%,-97.97683767,NOT GO -> Have Pico
1000_Poltekkes3-TBS,1000_Poltekkes3-TBS|4445624E_CO|440602|8,3021,13%,-97.51373717,NOT GO -> Have Pico
1001_Grandmall,1001_Grandmall|4410959E_CO|410159|1,944,10%,-81.85275424,NOT GO -> Have Pico
1001_Grandmall,1001_Grandmall|4410959E_CO|410159|4,6536,68%,-88.01637087,NOT GO -> Have Pico
1001_Grandmall,1001_Grandmall|4410959E_CO|410159|7,1728,18%,-89.91724537,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|14,2946,9%,-74.8095723,NOT GO -> Have Pico
