Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
619_Mnrdanamon,619_Mnrdanamon|SH4431845E_CO|430843|4,434366,57%,-69.25041322,NOT GO -> Have Pico
602_Itckuningan,602_Itckuningan|SH4431845E_CO|430843|4,404734,51%,-70.5105068,NOT GO -> Have Pico
560_Aptsomerset,560_Aptsomerset|SH4431845E_CO|430843|4,317863,50%,-68.62891406,NOT GO -> Have Pico
554_Wismastaco,554_Wismastaco|SH4431855E_CO|430827|5,299372,53%,-83.64379947,OK -> GO
558_Ambassador,558_Ambassador|SH4431845E_CO|430843|4,278385,37%,-72.32304038,NOT GO -> Have Pico
558_Ambassador,558_Ambassador|SH4431845E_CO|430843|8,265924,36%,-77.89830508,NOT GO -> Have Pico
572_CENTRALPLAZASETIABUDI,572_CENTRALPLAZASETIABUDI|4424975E|421021|5,262802,37%,-70.82857143,NOT GO -> Have Pico
154_Citraland,154_Citraland|4425492E-LTE-GROGOL-FLYOVER|420358|8,253327,57%,-87.5902439,NOT GO -> Have Pico
1068_PASAR MINGGU,1068_PASAR MINGGU|4443339E_CO|440056|7,235114,32%,-72.56349206,NOT GO -> Good Coverage from Surrounding
612_Menaramegasyariah-EBJ,612_Menaramegasyariah-EBJ|441PL081E_CO|430862|24,224992,30%,-76.15312916,NOT GO -> Have Pico
574_Ciputraworld,574_Ciputraworld|441PL246E_CO|431088|24,216405,26%,-75.20056101,NOT GO -> Have Pico
362_Hotelakmani,362_Hotelakmani|441PL397E_CO|421330|24,214470,67%,-80.05813953,NOT GO -> Covered by Surrounding
641_Plzgreatrivr,641_Plzgreatrivr|441PL081E_CO|430862|24,201428,42%,-76.03677758,OK -> GO with Change SOW
1283_Apartemen Ambassador,1283_Apartemen Ambassador|SH4431845E_CO|430843|8,186940,35%,-77.0958231,OK -> GO with Change SOW
148_Aptmedgrdn1,148_Aptmedgrdn1|4411115E_CO|420115|7,184306,26%,-90.25139665,NOT GO -> Have Pico
574_Ciputraworld,574_Ciputraworld|MC4430788E_CO|430011|7,181733,22%,-82.21245421,NOT GO -> Have Pico
546_Htlparklane,546_Htlparklane|SH4431855E_CO|430827|5,177787,49%,-83.93731343,NOT GO -> Have Pico
1059_PASAR KARET PEDURENAN,1059_PASAR KARET PEDURENAN|4435023E_CO|430018|4,170386,27%,-91.52109912,NOT GO -> Good Coverage from Surrounding
455_Sudirmanplce,455_Sudirmanplce|441PC256E_CO|421026|35,166906,39%,-79.27831094,NOT GO -> Have Pico
623_Mnrimperium,623_Mnrimperium|SH4431853EB-LTE-POLE-R2S1-KARBELLA|430454|6,165017,48%,-81.36772487,NOT GO -> Have Pico
1075_PASAR TEBET TIMUR,1075_PASAR TEBET TIMUR|4435536E_CO|430092|4,163330,44%,-81.71493213,"NOT GO -> Small Building, covered by Surrounding"
