rsrp-combined-qty,rsrp-combined-avg,compare,geometry,Tower ID,Frequency System,Longitude,Latitude,distance_existing,Planning ID,Lat,Long,distance_new,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
76161,-114.1444046,TRUE,"POLYGON ((107.10386 -6.262574, 107.10422 -6.262574, 107.10422 -6.262215, 107.10386 -6.262215, 107.10386 -6.262574))",,,,,,,,,,JAWA BARAT,BEKASI,CIKARANG BARAT,32_16_8,54.24539734,KAB. BEKASI_cikarang barat,cikarang barat,KAB. BEKASI,P1,Urban
69064,-109.8784895,TRUE,"POLYGON ((107.05606 -6.378301, 107.05642 -6.378301, 107.05642 -6.377942, 107.05606 -6.377942, 107.05606 -6.378301))",,,,,,,,,,JAWA BARAT,BEKASI,SETU,32_16_18,60.20719115,KAB. BEKASI_setu,setu,KAB. BEKASI,P1,SubUrban
59699,-111.3177105,TRUE,"POLYGON ((107.167115 -6.194288, 107.167474 -6.194288, 107.167474 -6.193929, 107.167115 -6.193929, 107.167115 -6.194288))",,,,,,,,,,JAWA BARAT,BEKASI,SUKATANI,32_16_15,38.30431256,KAB. BEKASI_sukatani,sukatani,KAB. BEKASI,P2,Urban
56560,-114.072896,TRUE,"POLYGON ((106.841498 -6.871039, 106.841858 -6.871039, 106.841858 -6.870679, 106.841498 -6.870679, 106.841498 -6.871039))",,,,,,,,,,JAWA BARAT,SUKABUMI,NAGRAK,32_2_12,68.95516616,KAB. SUKABUMI_nagrak,nagrak,KAB. SUKABUMI,P2,Urban
52470,-113.5119116,TRUE,"POLYGON ((107.155255 -6.419992, 107.155614 -6.419992, 107.155614 -6.419632, 107.155255 -6.419632, 107.155255 -6.419992))",,,,,,,,,,JAWA BARAT,BEKASI,BOJONGMANGU,32_16_23,53.08706977,KAB. BEKASI_bojongmangu,bojongmangu,KAB. BEKASI,P2,SubUrban
51538,-114.1839031,TRUE,"POLYGON ((107.30189 -6.076765, 107.302249 -6.076765, 107.302249 -6.076405, 107.30189 -6.076405, 107.30189 -6.076765))",,,,,,,,,,JAWA BARAT,KARAWANG,TIRTAJAYA,32_15_9,107.9043614,KAB. KARAWANG_tirtajaya,tirtajaya,KAB. KARAWANG,P2,SubUrban
50901,-108.6149192,TRUE,"POLYGON ((107.238995 -6.240292, 107.239354 -6.240292, 107.239354 -6.239932, 107.238995 -6.239932, 107.238995 -6.240292))",,,,,,,,,,JAWA BARAT,BEKASI,KEDUNGWARINGIN,32_16_12,30.28348232,KAB. BEKASI_kedungwaringin,kedungwaringin,KAB. BEKASI,P2,Urban
49200,-110.2536992,TRUE,"POLYGON ((107.034137 -6.353862, 107.034496 -6.353862, 107.034496 -6.353503, 107.034137 -6.353503, 107.034137 -6.353862))",,,,,,,,,,JAWA BARAT,BEKASI,SETU,32_16_18,60.20719115,KAB. BEKASI_setu,setu,KAB. BEKASI,P1,SubUrban
46437,-105.4322631,TRUE,"POLYGON ((107.522561 -6.263653, 107.522921 -6.263653, 107.522921 -6.263293, 107.522561 -6.263293, 107.522561 -6.263653))",,,,,,,,,,JAWA BARAT,KARAWANG,CILAMAYA KULON,32_15_23,68.04472284,KAB. KARAWANG_cilamaya kulon,cilamaya kulon,KAB. KARAWANG,P2,Rural
45448,-109.263554,TRUE,"POLYGON ((107.239714 -6.522421, 107.240073 -6.522421, 107.240073 -6.522061, 107.239714 -6.522061, 107.239714 -6.522421))",,,,,,,,,,JAWA BARAT,KARAWANG,TEGALWARU,32_15_28,107.1263542,KAB. KARAWANG_tegalwaru,tegalwaru,KAB. KARAWANG,P2,Rural
