rsrp-l1800-qty,rsrp-level,WKT,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
189,-119.3121693,"POLYGON ((105.487998 -6.814972, 105.488357 -6.814972, 105.488357 -6.814613, 105.487998 -6.814613, 105.487998 -6.814972))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
271,-109.9667897,"POLYGON ((105.494827 -6.802034, 105.495186 -6.802034, 105.495186 -6.801674, 105.494827 -6.801674, 105.494827 -6.802034))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
606,-109.6765677,"POLYGON ((105.50453 -6.785142, 105.50489 -6.785142, 105.50489 -6.784783, 105.50453 -6.784783, 105.50453 -6.785142))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
239,-105.5564854,"POLYGON ((105.51064 -6.808862, 105.511 -6.808862, 105.511 -6.808503, 105.51064 -6.808503, 105.51064 -6.808862))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
184,-115.7065217,"POLYGON ((105.513515 -6.741295, 105.513875 -6.741295, 105.513875 -6.740936, 105.513515 -6.740936, 105.513515 -6.741295))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
169,-115.816568,"POLYGON ((105.513515 -6.741655, 105.513875 -6.741655, 105.513875 -6.741295, 105.513515 -6.741295, 105.513515 -6.741655))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
416,-109.1850962,"POLYGON ((105.513515 -6.807425, 105.513875 -6.807425, 105.513875 -6.807065, 105.513515 -6.807065, 105.513515 -6.807425))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
196,-109.1785714,"POLYGON ((105.513515 -6.808503, 105.513875 -6.808503, 105.513875 -6.808144, 105.513515 -6.808144, 105.513515 -6.808503))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
398,-105.3090452,"POLYGON ((105.513875 -6.807784, 105.514234 -6.807784, 105.514234 -6.807425, 105.513875 -6.807425, 105.513875 -6.807784))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
792,-106.7777778,"POLYGON ((105.514234 -6.807784, 105.514594 -6.807784, 105.514594 -6.807425, 105.514234 -6.807425, 105.514234 -6.807784))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
548,-108.8193431,"POLYGON ((105.514594 -6.805987, 105.514953 -6.805987, 105.514953 -6.805628, 105.514594 -6.805628, 105.514594 -6.805987))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
242,-106.2975207,"POLYGON ((105.515672 -6.775438, 105.516031 -6.775438, 105.516031 -6.775079, 105.515672 -6.775079, 105.515672 -6.775438))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
201,-105.1542289,"POLYGON ((105.532923 -6.727997, 105.533282 -6.727997, 105.533282 -6.727638, 105.532923 -6.727638, 105.532923 -6.727997))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
206,-114.9854369,"POLYGON ((105.536876 -6.713262, 105.537236 -6.713262, 105.537236 -6.712903, 105.536876 -6.712903, 105.536876 -6.713262))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
217,-107.0276498,"POLYGON ((105.538314 -6.711106, 105.538673 -6.711106, 105.538673 -6.710746, 105.538314 -6.710746, 105.538314 -6.711106))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
691,-112.7018813,"POLYGON ((105.547658 -6.703558, 105.548018 -6.703558, 105.548018 -6.703199, 105.547658 -6.703199, 105.547658 -6.703558))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
187,-114.315508,"POLYGON ((105.576051 -6.669415, 105.57641 -6.669415, 105.57641 -6.669056, 105.576051 -6.669056, 105.576051 -6.669415))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
