rsrp-l900-qty,rsrp-l900-avg,compare,WKT,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
310,-105.3419355,TRUE,"POLYGON ((105.513515 -6.807425, 105.513875 -6.807425, 105.513875 -6.807065, 105.513515 -6.807065, 105.513515 -6.807425))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
580,-108.5086207,TRUE,"POLYGON ((105.514594 -6.805987, 105.514953 -6.805987, 105.514953 -6.805628, 105.514594 -6.805628, 105.514594 -6.805987))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
253,-106.9328063,TRUE,"POLYGON ((105.584317 -6.656836, 105.584677 -6.656836, 105.584677 -6.656477, 105.584317 -6.656477, 105.584317 -6.656836))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
225,-116.4266667,TRUE,"POLYGON ((105.626367 -6.73231, 105.626726 -6.73231, 105.626726 -6.731951, 105.626367 -6.731951, 105.626367 -6.73231))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
287,-111.3867596,TRUE,"POLYGON ((105.661229 -6.706793, 105.661588 -6.706793, 105.661588 -6.706433, 105.661229 -6.706433, 105.661229 -6.706793))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
164,-112.4146341,TRUE,"POLYGON ((105.676683 -6.511639, 105.677042 -6.511639, 105.677042 -6.511279, 105.676683 -6.511279, 105.676683 -6.511639))",,,,,,,,,,
247,-105.0323887,TRUE,"POLYGON ((105.687465 -6.530687, 105.687824 -6.530687, 105.687824 -6.530327, 105.687465 -6.530327, 105.687465 -6.530687))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
575,-108.2452174,TRUE,"POLYGON ((105.687824 -6.656477, 105.688184 -6.656477, 105.688184 -6.656117, 105.687824 -6.656117, 105.687824 -6.656477))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
193,-108.8963731,TRUE,"POLYGON ((105.688903 -6.656836, 105.689262 -6.656836, 105.689262 -6.656477, 105.688903 -6.656477, 105.688903 -6.656836))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
206,-116.2864078,TRUE,"POLYGON ((105.693575 -6.709309, 105.693934 -6.709309, 105.693934 -6.708949, 105.693575 -6.708949, 105.693575 -6.709309))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
