Cellname,LTE_SITE_ID,LTE_SITE_ID_2,SITE_Name
JK4G18_4435009E_5,5009G_CO,4435009E,4435009E_LTE_PERMATA_HIJAU
JK4G18_4435009E_14_M,5009G_CO,4435009E,4435009E_LTE_PERMATA_HIJAU
JK4G18_4435009E_15_M,5009G_CO,4435009E,4435009E_LTE_PERMATA_HIJAU
JK4G18_4435009E_16_M,5009G_CO,4435009E,4435009E_LTE_PERMATA_HIJAU
JK4G18_4435009E_4,5009G_CO,4435009E,4435009E_LTE_PERMATA_HIJAU
JK4G18_4435009E_6,5009G_CO,4435009E,4435009E_LTE_PERMATA_HIJAU
JK4G09_4424884E9_1,4424884E_CO,4424884E,4424884E_LTE_HAJI_TAUFIQ_RELOCATION
JK4G09_4424884E9_2,4424884E_CO,4424884E,4424884E_LTE_HAJI_TAUFIQ_RELOCATION
JK4G09_4424884E9_3,4424884E_CO,4424884E,4424884E_LTE_HAJI_TAUFIQ_RELOCATION
JK4G09_4424884E9_11,4424884E_CO,4424884E,4424884E_LTE_HAJI_TAUFIQ_RELOCATION
JK4G09_4433054E9_2,4433054E,4433054E,4433054E_LTE_ZAMRUD_GROGOL_UTARA
JK4G09_441PL215E9_21_P2M,341PL215G_CO,441PL215E,441PL215E_LTE_TEMPO_PRINT_OFFICE
JK4G09_441PL215E9_22_P2M,341PL215G_CO,441PL215E,441PL215E_LTE_TEMPO_PRINT_OFFICE
JK4G09_441PL215E9_23_P2M,341PL215G_C2,441PL215E,441PL215E_LTE_TEMPO_PRINT_OFFICE
JK4G09_4425245E9_1,4425245E_CO,4425245E,4425245E_LTE_PALMERAH_BARAT
JK4G09_4433054E9_1,4433054E,4433054E,4433054E_LTE_ZAMRUD_GROGOL_UTARA
JK4G09_4433054E9_3,4433054E,4433054E,4433054E_LTE_ZAMRUD_GROGOL_UTARA
JK4G09_SH4431526E9_1,SH4431526E_CO,SH4431526E,SH4431526E_LTE_SENAYAN_GOLF
JK4G09_441PX374E9_11_P2M,441PX374E_BB,441PX374E,441PX374E_LTE_PATAL_SENAYAN
JK4G09_441PX374E9_12_P2M,441PX374E_BB,441PX374E,441PX374E_LTE_PATAL_SENAYAN
JK4G18_4431509E_14_M,3431509G_CO,4431509E,4431509E_LTE_PATAL_SENAYAN_GROGOL_UTARA
JK4G18_4431509E_15_M,3431509G_CO,4431509E,4431509E_LTE_PATAL_SENAYAN_GROGOL_UTARA
JK4G18_4431509E_16_M,3431509G_CO,4431509E,4431509E_LTE_PATAL_SENAYAN_GROGOL_UTARA
JK4G18_4431509E_4,3431509G_CO,4431509E,4431509E_LTE_PATAL_SENAYAN_GROGOL_UTARA
JK4G18_4431509E_5,3431509G_CO,4431509E,4431509E_LTE_PATAL_SENAYAN_GROGOL_UTARA
JK4G18_4431509E_6,3431509G_CO,4431509E,4431509E_LTE_PATAL_SENAYAN_GROGOL_UTARA
JK4G18_SH4424218E_4,SH3424218G_CO,SH4424218E,SH4424218E_LTE_KEMANGGISAN_UTAMA
JK4G18_SH4424218E_5,SH3424218G_CO,SH4424218E,SH4424218E_LTE_KEMANGGISAN_UTAMA
JK4G18_SH4424218E_6,SH3424218G_CO,SH4424218E,SH4424218E_LTE_KEMANGGISAN_UTAMA
JK4G21_4435023E21_9,5023G_C2,4435023E,4435023E_LTE_KARET_SATRIO
JK4G21_4435023E21_18_M,5023G_CO,4435023E,4435023E_LTE_KARET_SATRIO
JK4G21_4435023E21_17_M,5023G_CO,4435023E,4435023E_LTE_KARET_SATRIO
JK4G21_4435023E21_19_M,5023G_C2,4435023E,4435023E_LTE_KARET_SATRIO
JK4G21_4435023E21_7,5023G_CO,4435023E,4435023E_LTE_KARET_SATRIO
JK4G21_4435023E21_8,5023G_CO,4435023E,4435023E_LTE_KARET_SATRIO
JK4G21_4433055E21_7,4433055E,4433055E,4433055E_LTE_GBK_HOTEL_ATLET
JK4G21_4433055E21_8,4433055E,4433055E,4433055E_LTE_GBK_HOTEL_ATLET
JK4G21_4433055E21_9,4433055E,4433055E,4433055E_LTE_GBK_HOTEL_ATLET
JK4G21_4433055E21_17_M,4433055E,4433055E,4433055E_LTE_GBK_HOTEL_ATLET
JK4G21_4433055E21_18_M,4433055E,4433055E,4433055E_LTE_GBK_HOTEL_ATLET
JK4G21_4433055E21_19_M,4433055E,4433055E,4433055E_LTE_GBK_HOTEL_ATLET
JK4G21_441PL331E21_7,441PL331E_CO,441PL331E,441PL331E_LTE_VERDE_2
JK4G21_441PL331E21_8,441PL331E_CO,441PL331E,441PL331E_LTE_VERDE_2
JK4G21_441PL331E21_17_M,441PL331E_CO,441PL331E,441PL331E_LTE_VERDE_2
JK4G21_441PL331E21_18_M,441PL331E_CO,441PL331E,441PL331E_LTE_VERDE_2
JK4G21_441PL331E21_27_P2M,441PL331E_CO,441PL331E,441PL331E_LTE_VERDE_2
JK4G21_441PL331E21_28_P2M,441PL331E_CO,441PL331E,441PL331E_LTE_VERDE_2
JK4G21_4411274E21_18_MM_S,4411274E,4411274E,4411274E_LTE_KUNINGAN_ENTERPRISE_RELOC
JK4G21_4411274E21_8_MM_S,4411274E,4411274E,4411274E_LTE_KUNINGAN_ENTERPRISE_RELOC
JK4G21_4425022E21_7,5022G_CO,4425022E,4425022E_LTE_KARET_GUSURAN
JK4G21_4425022E21_9,5022G_C2,4425022E,4425022E_LTE_KARET_GUSURAN
JK4G21_4425022E21_17_M,5022G_CO,4425022E,4425022E_LTE_KARET_GUSURAN
JK4G21_4425022E21_19_M,5022G_C2,4425022E,4425022E_LTE_KARET_GUSURAN
JK4G21_4435695E21_19_M,3435695G_CO,4435695E,4435695E_LTE_KARET_KUNINGAN_RELOCATION
JK4G21_4435695E21_7,3435695G_CO,4435695E,4435695E_LTE_KARET_KUNINGAN_RELOCATION
JK4G21_4435695E21_8,3435695G_CO,4435695E,4435695E_LTE_KARET_KUNINGAN_RELOCATION
JK4G21_4435695E21_9,3435695G_CO,4435695E,4435695E_LTE_KARET_KUNINGAN_RELOCATION
JK4G21_4435695E21_17_M,3435695G_CO,4435695E,4435695E_LTE_KARET_KUNINGAN_RELOCATION
JK4G21_4435695E21_18_M,3435695G_CO,4435695E,4435695E_LTE_KARET_KUNINGAN_RELOCATION
JK4G21_441PL754E21_27_P2M,341PL754G_CO,441PL754E,441PL754E_LTE_RS_MAYAPADA_KUNINGAN
JK4G21_441PL754E21_28_P2M,341PL754G_CO,441PL754E,441PL754E_LTE_RS_MAYAPADA_KUNINGAN
JK4G21_441PL754E21_29_P2M,341PL754G_C2,441PL754E,441PL754E_LTE_RS_MAYAPADA_KUNINGAN
JK4G21_441PL754E21_37_P2M_M,341PL754G_CO,441PL754E,441PL754E_LTE_RS_MAYAPADA_KUNINGAN
JK4G21_441PL754E21_38_P2M_M,341PL754G_CO,441PL754E,441PL754E_LTE_RS_MAYAPADA_KUNINGAN
JK4G21_441PL754E21_39_P2M_M,341PL754G_C2,441PL754E,441PL754E_LTE_RS_MAYAPADA_KUNINGAN
JK4G18_SH4431856E_4,SH4431856E,SH4431856E,SH4431856E_LTE_POLE_R5S1_TAMAN_PATRA
JK4G18_SH4431856E_5,SH4431856E,SH4431856E,SH4431856E_LTE_POLE_R5S1_TAMAN_PATRA
JK4G18_SH4431856E_6,SH4431856E,SH4431856E,SH4431856E_LTE_POLE_R5S1_TAMAN_PATRA
JK4G18_SH4433705E_4,SH4433705E,SH4433705E,SH4433705E_LTE_POLE_R5S2_INDORAMA
JK4G18_MC4410038E_4,MC4410038E,MC4410038E,MC4410038E_LTE_SIMPRUG_INDAH
JK4G18_MC4410038E_5,MC4410038E,MC4410038E,MC4410038E_LTE_SIMPRUG_INDAH
JK4G18_MC4410038E_6,MC4410038E_BB,MC4410038E,MC4410038E_LTE_SIMPRUG_INDAH
JK4G18_441PX362E_4,441PX362E,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_24,341PX362G_CO,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_25,341PX362G_CO,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_26,341PX362G_CO,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_5,441PX362E,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_6,441PX362E,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_4424876E_4,3424876G_CO,4424876E,4424876E_LTE_BINUS_NUSANTARA_KEMANGGISAN
JK4G18_441PL469E_5,341PL469G_CO,441PL469E,441PL469E_LTE_APARTMENT_BOTANICA_TOWER1_2_3
JK4G18_441PL498E_5,341PL498G_CO,441PL498E,441PL498E_LTE_APT_PAKUBUWONO_SPRING
JK4G18_441PL498E_4,341PL498G_CO,441PL498E,441PL498E_LTE_APT_PAKUBUWONO_SPRING
JK4G18_441PL498E_6,341PL498G_CO,441PL498E,441PL498E_LTE_APT_PAKUBUWONO_SPRING
JK4G18_441PL469E_4,341PL469G_CO,441PL469E,441PL469E_LTE_APARTMENT_BOTANICA_TOWER1_2_3
JK4G18_441PL469E_6,341PL469G_CO,441PL469E,441PL469E_LTE_APARTMENT_BOTANICA_TOWER1_2_3
JK4G18_441PL469E_14_M,341PL469G_CO,441PL469E,441PL469E_LTE_APARTMENT_BOTANICA_TOWER1_2_3
JK4G18_441PL469E_15_M,341PL469G_CO,441PL469E,441PL469E_LTE_APARTMENT_BOTANICA_TOWER1_2_3
JK4G18_441PL469E_16_M,341PL469G_CO,441PL469E,441PL469E_LTE_APARTMENT_BOTANICA_TOWER1_2_3
JK4G18_SH4431542E_5,SH4431542E,SH4431542E,SH4431542E_LTE_ALEXANDRI_PERMATA_HIJAU
JK4G18_SH4431542E_4,SH4431542E,SH4431542E,SH4431542E_LTE_ALEXANDRI_PERMATA_HIJAU
JK4G18_SH4431542E_6,SH4431542E,SH4431542E,SH4431542E_LTE_ALEXANDRI_PERMATA_HIJAU
JK4G18_441PX362E_16,441PX362E_BB,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_44,341PX362G_C2,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_54_M,341PX362G_C2,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_64_P2M,341PX362G_C2,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_65_P2M,341PX362G_C2,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_66_P2M,341PX362G_C2,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_14,441PX362E_BB,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_441PX362E_15,441PX362E_BB,441PX362E,441PX362E_LTE_GANDARIA_CITY
JK4G18_SH4431407E_4,SH3431407G_CO,SH4431407E,SH4431407E_LTE_KERINCI_XII_GROGOL_SELATAN
JK4G18_SH4431407E_5,SH3431407G_CO,SH4431407E,SH4431407E_LTE_KERINCI_XII_GROGOL_SELATAN
JK4G18_SH4431407E_6,SH3431407G_CO,SH4431407E,SH4431407E_LTE_KERINCI_XII_GROGOL_SELATAN
JK4G18_441SC995E_4,341SC995G_CO,441SC995E,441SC995E_LTE_CL_STASIUN_KEBAYORAN
JK4G18_441SC995E_5,341SC995G_CO,441SC995E,441SC995E_LTE_CL_STASIUN_KEBAYORAN
JK4G18_441SC995E_6,341SC995G_CO,441SC995E,441SC995E_LTE_CL_STASIUN_KEBAYORAN
JK4G18_441PX069E_6,341PX069G_CO,441PX069E,441PX069E_LTE_THE_PAKUBUWONO_HOUSE
JK4G18_SH4431477E_4,SH4431477E,SH4431477E,SH4431477E_LTE_PAKUBUONO
JK4G18_SH4431477E_6,SH4431477E,SH4431477E,SH4431477E_LTE_PAKUBUONO
JK4G18_441PX069E_4,341PX069G_CO,441PX069E,441PX069E_LTE_THE_PAKUBUWONO_HOUSE
JK4G18_441PX069E_5,341PX069G_CO,441PX069E,441PX069E_LTE_THE_PAKUBUWONO_HOUSE
JK4G18_441PX069E_24_P2M,341PX069G_CO,441PX069E,441PX069E_LTE_THE_PAKUBUWONO_HOUSE
JK4G18_441PX069E_25_P2M,341PX069G_CO,441PX069E,441PX069E_LTE_THE_PAKUBUWONO_HOUSE
JK4G18_441PX069E_26_P2M,341PX069G_CO,441PX069E,441PX069E_LTE_THE_PAKUBUWONO_HOUSE
JK4G18_441PX232E_5,341PX232G_CO,441PX232E,441PX232E_LTE_PROVIDENCE_PARK_APARTMENT
JK4G18_4435737E_4,5737G_CO,4435737E,4435737E_LTE_TENTARA_PELAJAR_SENAYAN
JK4G18_4435737E_5,5737G_CO,4435737E,4435737E_LTE_TENTARA_PELAJAR_SENAYAN
JK4G18_4435737E_6,5737G_CO,4435737E,4435737E_LTE_TENTARA_PELAJAR_SENAYAN
JK4G18_441PX232E_4,341PX232G_CO,441PX232E,441PX232E_LTE_PROVIDENCE_PARK_APARTMENT
JK4G18_4425060E_4,5060G_CO,4425060E,4425060E_LTE_KEMANGGISAN
JK4G18_4425060E_6,5060G_C2,4425060E,4425060E_LTE_KEMANGGISAN
JK4G18_441PL004E_4,341PL004G_CO,441PL004E,441PL004E_LTE_PLAZA_MAYESTIK
JK4G18_SH4431477E_5,SH4431477E,SH4431477E,SH4431477E_LTE_PAKUBUONO
JK4G18_SH4431972E_4,SH4431972E,SH4431972E,SH4431972E_LTE_TEBAH_DEMPO
JK4G18_SH4431972E_5,SH4431972E,SH4431972E,SH4431972E_LTE_TEBAH_DEMPO
JK4G18_SH4431972E_6,SH4431972E,SH4431972E,SH4431972E_LTE_TEBAH_DEMPO
JK4G18_SH4433586E_4,SH4433586E_CO,SH4433586E,SH4433586E_LTE_DEMPO_LEUSER
JK4G18_SH4433586E_5,SH4433586E_CO,SH4433586E,SH4433586E_LTE_DEMPO_LEUSER
JK4G18_SH4433586E_6,SH4433586E_CO,SH4433586E,SH4433586E_LTE_DEMPO_LEUSER
JK4G18_441PL004E_14_M,341PL004G_CO,441PL004E,441PL004E_LTE_PLAZA_MAYESTIK
JK4G18_441PL004E_24_P2M,341PL004G_CO,441PL004E,441PL004E_LTE_PLAZA_MAYESTIK
JK4G18_441PL004E_25_P2M,341PL004G_CO,441PL004E,441PL004E_LTE_PLAZA_MAYESTIK
JK4G18_441PL004E_26_P2M,341PL004G_CO,441PL004E,441PL004E_LTE_PLAZA_MAYESTIK
JK4G21_4431512E21_8,3431512G_CO,4431512E,4431512E_LTE_PT_FINDO_MUDA
JK4G21_4431512E21_7,3431512G_CO,4431512E,4431512E_LTE_PT_FINDO_MUDA
JK4G21_4431512E21_9,3431512G_C2,4431512E,4431512E_LTE_PT_FINDO_MUDA
JK4G21_4431512E21_17_M,3431512G_CO,4431512E,4431512E_LTE_PT_FINDO_MUDA
JK4G21_4431512E21_18_M,3431512G_CO,4431512E,4431512E_LTE_PT_FINDO_MUDA
JK4G21_4431512E21_19_M,3431512G_C2,4431512E,4431512E_LTE_PT_FINDO_MUDA
JK4G18_SH4433008E_5,SH3433008G_CO,SH4433008E,SH4433008E_LTE_KYAI_MAJA_MENDAWAI
JK4G18_SH4433008E_4,SH3433008G_CO,SH4433008E,SH4433008E_LTE_KYAI_MAJA_MENDAWAI
JK4G18_SH4433008E_6,SH3433008G_CO,SH4433008E,SH4433008E_LTE_KYAI_MAJA_MENDAWAI
JK4G18_441PX567E_4,341PX567G_CO,441PX567E,441PX567E_LTE_ST_SISINGAMARAJA_BLOK_A
JK4G18_441PX567E_5,341PX567G_CO,441PX567E,441PX567E_LTE_ST_SISINGAMARAJA_BLOK_A
JK4G18_441PX567E_14,341PX567G_CO,441PX567E,441PX567E_LTE_ST_SISINGAMARAJA_BLOK_A
JK4G18_441PX567E_15,341PX567G_CO,441PX567E,441PX567E_LTE_ST_SISINGAMARAJA_BLOK_A
JK4G18_441PX364E_4,441PX364E,441PX364E,441PX364E_LTE_DEPARTMEN_PU
JK4G18_SH4431545E_4,SH4431545E,SH4431545E,SH4431545E_LTE_HANG_LEKIR
JK4G18_SH4431545E_5,SH4431545E,SH4431545E,SH4431545E_LTE_HANG_LEKIR
JK4G18_SH4431545E_6,SH4431545E,SH4431545E,SH4431545E_LTE_HANG_LEKIR
JK4G18_4431358E_4,4431358E,4431358E,4431358E_LTE_PAKUBUWONO_VI_GROGOL_SELATAN
JK4G18_4431358E_5,4431358E,4431358E,4431358E_LTE_PAKUBUWONO_VI_GROGOL_SELATAN
